virus_name	viral_acc	evidence
Acinetobacter phage vB_ApiP_P1	NC_042006	Literature
Acinetobacter phage vB_ApiP_P2	NC_042007	Literature, RefSeq
Acinetobacter phage VB_ApiP_XC38	NC_055823	Literature
Acinetobacter phage VB_ApiP_XC38	NC_055823	Literature, NCBI Virus, RefSeq
Acinetobacter phage WCHABP1	NC_041966	Literature, RefSeq
Acinetobacter phage WCHABP12	NC_041924	Literature, RefSeq
Acinetobacter phage WCHABP5	NC_041967	RefSeq
Acinetobacter phage YMC-13-01-C62	NC_024785	Literature, RefSeq
Acinetobacter phage YMC/09/02/B1251	NC_019541	Literature, RefSeq
Acinetobacter phage YMC11/11/R3177	NC_041866	Literature
Acinetobacter phage YMC11/12/R2315	NC_028855	Literature
Acinetobacter phage YMC11/12/R2315	NC_028855	Literature
Acinetobacter phage YMC13/03/R2096	NC_027332	NCBI Virus, RefSeq
Acinetobacter phage ZZ1	NC_018087	Literature, RefSeq
Acinetobacter virus 133	NC_015250	Literature, NCBI Virus, RefSeq
Actinomyces phage Av-1	DQ123818	Literature, RefSeq
Actinomyces phage Av-1	DQ123818	Literature
Actinomyces virus Av1	NC_009643	NCBI Virus, RefSeq
Aeromonas phage 25AhydR2PP	NC_047966	Literature
Aeromonas phage 2L372D	NC_048769	Literature
Aeromonas phage 2L372X	NC_048770	Literature
Aeromonas phage 2_D05	NC_054465	Literature, NCBI Virus, RefSeq
Aeromonas phage 4L372D	NC_048771	Literature
Aeromonas phage 4L372XY	NC_048772	Literature
Aeromonas phage 4_4572	NC_048773	Literature
Aeromonas phage 4_D05	NC_054466	Literature, NCBI Virus, RefSeq
Aeromonas phage 50AhydR13PP	NC_055746	Literature, NCBI Virus, RefSeq
Aeromonas phage 60AhydR15PP	NC_055747	Literature, NCBI Virus, RefSeq
Aeromonas phage Aeh1	NC_005260	RefSeq
Aeromonas phage Aes508	NC_019543	RefSeq
Aeromonas phage Ah1	NC_055733	Literature, NCBI Virus, RefSeq
Aeromonas phage Ahp1	NC_047866	Literature, RefSeq
Aeromonas phage Ahp1	NC_047866	Literature
Aeromonas phage AhSzq-1	NC_047949	Literature, RefSeq
Aeromonas phage AhSzw-1	NC_047950	Literature, RefSeq
Aeromonas phage AS-gz	NC_042019	Literature
Aeromonas phage AS-gz	NC_042019	Literature
Aeromonas phage AS-sw	NC_048674	Literature
Aeromonas phage AS-sw	NC_048674	Literature
Aeromonas phage AS-zj	NC_048673	Literature
Aeromonas phage AS-zj	NC_048673	Literature
Aeromonas phage BUCT551	NC_052986	Literature
Aeromonas phage BUCT551	NC_052986	Literature
Aeromonas phage CC2	NC_019538	RefSeq
Aeromonas phage CF7	NC_047865	Literature
Aeromonas phage LAh_6	NC_048774	Literature, RefSeq
Aeromonas phage LAh_7	NC_052985	Literature, NCBI Virus, RefSeq
Aeromonas phage LAh_8	NC_048775	Literature, RefSeq
Aeromonas phage LAh_9	NC_048776	Literature, RefSeq
Aeromonas phage pAh6-C	NC_025459	Literature, RefSeq
Aeromonas phage phiAS4	NC_014635	RefSeq
Aeromonas phage phiAS5	NC_014636	NCBI Virus, RefSeq
Aeromonas phage phiAS7	NC_019528	RefSeq
Aeromonas phage PX29	NC_023688	Literature, NCBI Virus, RefSeq
Aeromonas phage vB_AhyS-A18P4	NC_052984	NCBI Virus, RefSeq
Aeromonas phage vB_AsaM-56	NC_019527	RefSeq
Aeromonas phage ZPAH7	NC_048133	Literature, RefSeq
Aeromonas virus 25	NC_008208	NCBI Virus, RefSeq
Aeromonas virus 31	NC_007022	NCBI Virus, RefSeq
Aeromonas virus 44RR2	NC_005135	NCBI Virus, RefSeq
Aeromonas virus 65	NC_015251	Literature, NCBI Virus, RefSeq
Aeromonas virus phiO18P	NC_009542	NCBI Virus, RefSeq
Aeropyrum coil-shaped virus	NC_043427	Literature, NCBI Virus, RefSeq
Aeropyrum globular virus 1	NC_036595	Literature
Aeropyrum globular virus 1	NC_036595	Literature
Aeropyrum pernix bacilliform virus 1	NC_043030	Literature
Aeropyrum pernix ovoid virus 1	NC_028256	Literature, UniProt
Aeropyrum pernix ovoid virus 1	NC_028256	NCBI Virus, RefSeq
Aeropyrum pernix spindle-shaped virus 1	NC_028268	Literature
Aeropyrum pernix spindle-shaped virus 1	NC_028268	NCBI Virus, RefSeq
Aggregatibacter phage S1249	NC_013597	NCBI Virus, RefSeq
Agrobacterium phage 7-7-1	NC_019519	Literature, RefSeq
Agrobacterium phage Atu_ph02	NC_047845	Literature, RefSeq
Agrobacterium phage Atu_ph03	NC_047846	Literature, RefSeq
Agrobacterium phage Atu_ph07	NC_042013	Literature, RefSeq
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Literature
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Literature
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Literature, NCBI Virus, RefSeq
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Literature
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Literature
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Literature
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Literature, NCBI Virus, RefSeq
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Literature
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Literature
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Literature
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Literature, NCBI Virus, RefSeq
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Literature
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Literature
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Literature
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Literature, NCBI Virus, RefSeq
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Literature
Alteromonas phage vB_AmeM_PT11-V22	NC_048847	Literature
Anabaena phage A-4L	NC_024358	Literature
Anoxybacillus phage A403	NC_048701	RefSeq
Arthrobacter phage DrManhattan	NC_048093	RefSeq
Azobacteroides phage ProJPt-Bp1	NC_055706	Literature, NCBI Virus, RefSeq
Azospirillum phage Cd	NC_010355	Literature, NCBI Virus, RefSeq
Bacillus phage 0305phi8-36	NC_009760	NCBI Virus, RefSeq
Bacillus phage 250	NC_029024	RefSeq
Bacillus phage Andromeda	NC_020478	RefSeq
Bacillus phage AP50	NC_011523	RefSeq
Bacillus phage AR9	NC_031039	Literature, NCBI Virus, RefSeq
Bacillus phage AvesoBmore	NC_028887	Literature, RefSeq
Bacillus phage B4	NC_018863	RefSeq
Bacillus phage B5S	NC_047736	Literature, RefSeq
Bacillus phage Bam35c	NC_005258	RefSeq, UniProt
Bacillus phage Baseball_field	NC_055905	Literature, NCBI Virus, RefSeq
Bacillus phage Basilisk	KC595511	Literature
Bacillus phage Basilisk	KC595511	NCBI Virus, RefSeq
Bacillus phage Bastille	NC_018856	RefSeq
Bacillus phage BCD7	NC_019515	RefSeq
Bacillus phage Bcp1	NC_024137	RefSeq
Bacillus phage BCP78	NC_018860	RefSeq
Bacillus phage BCP8-2	NC_027355	RefSeq
Bacillus phage BCU4	NC_047735	Literature, RefSeq
Bacillus phage BeachBum	NC_049961	Literature
Bacillus phage BeachBum	NC_049961	Literature
Bacillus phage BeachBum	NC_049961	Literature, RefSeq
Bacillus phage BeachBum	NC_049961	Literature
Bacillus phage Belinda	NC_031024	Literature, NCBI Virus, RefSeq
Bacillus phage BigBertha	NC_022769	RefSeq
Bacillus phage Blastoid	NC_022773	RefSeq
Bacillus phage Bobb	NC_024792	RefSeq
Bacillus phage Bp8p-C	NC_029121	Literature, RefSeq
Bacillus phage Bp8p-T	NC_047744	Literature, RefSeq
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS10C	NC_023501	Literature
Bacillus phage BPS13	NC_018857	RefSeq
Bacillus phage BSP38	NC_048726	Literature
Bacillus phage BSP38	NC_048726	Literature, RefSeq
Bacillus phage BtCS33	NC_018085	RefSeq
Bacillus phage CAM003	NC_024216	RefSeq
Bacillus phage CampHawk	NC_022761	RefSeq
Bacillus phage Carmen17	NC_048698	Literature, RefSeq
Bacillus phage Cherry	DQ222851	Literature
Bacillus phage CP-51	NC_025423	RefSeq
Bacillus phage Curly	NC_020479	RefSeq
Bacillus phage Deep Blue	NC_031056	Literature, RefSeq
Bacillus phage Deep-Purple	NC_048667	Literature, RefSeq
Bacillus phage Deep-Purple	NC_048667	Literature
Bacillus phage DIGNKC	NC_031006	Literature, NCBI Virus, RefSeq
Bacillus phage DirtyBetty	NC_031054	Literature, NCBI Virus
Bacillus phage DK1	NC_049967	Literature, RefSeq
Bacillus phage DK2	NC_049968	Literature, RefSeq
Bacillus phage DK3	NC_049969	Literature, RefSeq
Bacillus phage DLc1	NC_055908	Literature, NCBI Virus, RefSeq
Bacillus phage Eldridge	NC_030920	Literature
Bacillus phage Eoghan	NC_020477	RefSeq
Bacillus phage Evoli	NC_024207	Literature
Bacillus phage Evoli	NC_024207	Literature
Bacillus phage Eyuki	NC_028944	Literature, RefSeq
Bacillus phage Fah	NC_007814	NCBI Virus, RefSeq
Bacillus phage Fah	NC_007814	RefSeq
Bacillus phage Finn	NC_020480	RefSeq
Bacillus phage G	NC_023719	Literature
Bacillus phage GA1	NC_002649	Literature, UniProt
Bacillus phage Gamma	NC_007458	NCBI Virus, RefSeq
Bacillus phage Gamma isolate d'Herelle	DQ289556	Literature
Bacillus phage Gamma isolate d'Herelle	DQ289556	Literature
Bacillus phage Gamma isolate d'Herelle	DQ289556	NCBI Virus, RefSeq
Bacillus phage Gemini	KC330681	Literature, RefSeq
Bacillus phage GIL16c	NC_006945	RefSeq
Bacillus phage Glittering	NC_022766	RefSeq
Bacillus phage Grass	NC_022771	RefSeq
Bacillus phage Harambe	NC_049960	Literature
Bacillus phage Harambe	NC_049960	Literature
Bacillus phage Harambe	NC_049960	Literature, RefSeq
Bacillus phage Harambe	NC_049960	Literature
Bacillus phage Harambe	NC_049960	Literature
Bacillus phage Hoody T	NC_024205	Literature
Bacillus phage IEBH	NC_011167	RefSeq
Bacillus phage JBP901	NC_027352	RefSeq
Bacillus phage JL	NC_028982	Literature, RefSeq
Bacillus phage Juan	NC_049963	RefSeq
Bacillus phage Karezi	NC_049970	RefSeq
Bacillus phage Kida	NC_031012	Literature, NCBI Virus
Bacillus phage KonjoTrouble	NC_049964	Literature
Bacillus phage Mater	NC_027366	Literature
Bacillus phage MG-B1	NC_021336	RefSeq
Bacillus phage Moonbeam	NC_027374	Literature
Bacillus phage Nemo	NC_031070	Literature, NCBI Virus, RefSeq
Bacillus phage Nf	NC_049976	Literature
Bacillus phage Nigalana	NC_031037	Literature, NCBI Virus, RefSeq
Bacillus phage NotTheCreek	NC_031049	Literature, NCBI Virus, RefSeq
Bacillus phage Page	NC_022764	Literature
Bacillus phage Page	NC_022764	Literature
Bacillus phage Page	NC_022764	Literature
Bacillus phage Palmer	NC_028926	Literature
Bacillus phage Pascal	NC_027372	Literature
Bacillus phage Pavlov	NC_028782	Literature, NCBI Virus
Bacillus phage PBC1	NC_017976	RefSeq
Bacillus phage PBS1	NC_043027	Literature, RefSeq
Bacillus phage PfEFR-4	NC_048641	Literature, RefSeq
Bacillus phage PfEFR-4	NC_048641	Literature
Bacillus phage PfEFR-5	NC_031055	Literature, NCBI Virus, RefSeq
Bacillus phage PfEFR-5	NC_031055	Literature
Bacillus phage pGIL01	AJ536073	Literature, RefSeq
Bacillus phage phBC6A51	NC_004820	NCBI Virus, RefSeq
Bacillus phage phBC6A52	NC_004821	NCBI Virus, RefSeq
Bacillus phage phi105	NC_004167, NC_048631	Literature, RefSeq, UniProt
Bacillus phage phi29	NC_011048	RefSeq, UniProt
Bacillus phage phi4B1	NC_028886	RefSeq
Bacillus phage phi4B1	NC_028886	NCBI Virus, RefSeq
Bacillus phage phi4J1	NC_029008	RefSeq
Bacillus phage phi4J1	NC_029008	RefSeq
Bacillus phage phiAGATE	NC_020081	Literature, RefSeq
Bacillus phage phiCM3	NC_023599	RefSeq
Bacillus phage phiNIT1	NC_021856	Literature, RefSeq
Bacillus phage phIS3501	NC_019502	Literature
Bacillus phage Phrodo	NC_031100	Literature, NCBI Virus, RefSeq
Bacillus phage PM1	NC_020883	RefSeq
Bacillus phage Pony	NC_022770	Literature
Bacillus phage Pony	NC_022770	Literature
Bacillus phage Pony	NC_022770	Literature
Bacillus phage Pookie	NC_027394	Literature
Bacillus phage poppyseed	KF669657	Literature
Bacillus phage PZA	NC_001423	Literature, RefSeq, UniProt
Bacillus phage QCM11	NC_049959	Literature
Bacillus phage QCM11	NC_049959	Literature
Bacillus phage Riggi	NC_022765	RefSeq
Bacillus phage SageFayge	NC_031027	Literature, NCBI Virus, RefSeq
Bacillus phage SalinJah	NC_031034	Literature, NCBI Virus, RefSeq
Bacillus phage SalinJah	NC_031034	Literature
Bacillus phage SalinJah	NC_031034	Literature
Bacillus phage SalinJah	NC_031034	Literature
Bacillus phage SalinJah	NC_031034	Literature
Bacillus phage SerPounce	NC_049962	Literature
Bacillus phage SerPounce	NC_049962	Literature
Bacillus phage SerPounce	NC_049962	Literature, RefSeq
Bacillus phage SerPounce	NC_049962	Literature
Bacillus phage SerPounce	NC_049962	Literature
Bacillus phage SerPounce	NC_049962	Literature
Bacillus phage Shanette	NC_028983	Literature, RefSeq
Bacillus phage SIOphi	NC_042133	Literature, RefSeq
Bacillus phage SIOphi	NC_042133	Literature
Bacillus phage Slash	NC_022774	Literature
Bacillus phage SP-10	NC_019487	Literature
Bacillus phage SP-15	NC_031245	Literature
Bacillus phage SP-15	NC_031245	Literature, RefSeq
Bacillus phage SPG24	NC_030903, NC_041835, NC_041836, NC_041837, NC_041838, NC_041839, NC_041840, NC_041841, NC_041842	Literature, RefSeq
Bacillus phage SPO1	NC_011421	RefSeq, UniProt
Bacillus phage Spock	NC_022763	RefSeq
Bacillus phage SPP1	NC_004166	UniProt
Bacillus phage Stahl	NC_028856	Literature
Bacillus phage Staley	NC_022767	Literature
Bacillus phage Staley	NC_022767	Literature
Bacillus phage Stills	NC_028777	Literature
Bacillus phage Stitch	NC_031032	Literature
Bacillus phage Taylor	NC_041858	Literature
Bacillus phage Taylor	NC_041858	Literature, RefSeq
Bacillus phage Thornton	NC_055914	Literature, NCBI Virus
Bacillus phage TP21-L	NC_011645	Literature
Bacillus phage Troll	NC_022088	RefSeq
Bacillus phage TsarBomba	NC_028890	Literature
Bacillus phage TsarBomba	NC_028890	Literature
Bacillus phage TsarBomba	NC_028890	Literature, RefSeq
Bacillus phage TsarBomba	NC_028890	Literature
Bacillus phage vB_BanS-Tsamsa	NC_023007	NCBI Virus, RefSeq
Bacillus phage vB_BceM_Bc431v3	NC_020873	RefSeq
Bacillus phage vB_BceS-MY192	NC_048633	Literature, RefSeq
Bacillus phage vB_BmeM-Goe8	NC_048797	Literature, RefSeq
Bacillus phage vB_Bpu_PumA1	NC_049971	RefSeq
Bacillus phage vB_Bpu_PumA2	NC_049972	RefSeq
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature, RefSeq
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuM-Goe3	NC_048652	Literature
Bacillus phage vB_BsuP-Goe1	NC_049975	Literature, RefSeq
Bacillus phage vB_BsuP-Goe1	NC_049975	Literature
Bacillus phage vB_BsuP-Goe1	NC_049975	Literature
Bacillus phage vB_BthP-Goe4	NC_049966	Literature
Bacillus phage vB_BtS_B83	NC_048762	Literature, RefSeq
Bacillus phage vB_BtS_BMBtp3	NC_028748	Literature, RefSeq
Bacillus phage vB_BveP-Goe6	NC_049965	Literature, RefSeq
Bacillus phage VMY22	NC_028789	Literature, RefSeq
Bacillus phage W.Ph.	NC_016563	RefSeq
Bacillus phage Waukesha92	NC_025424	Literature, RefSeq
Bacillus phage WBeta	NC_007734	RefSeq
Bacillus phage WBeta	NC_007734	RefSeq
Bacillus phage Wes44	NC_048725	Literature
Bacillus phage WhyPhy	NC_055917	Literature, NCBI Virus, RefSeq
Bacillus phage Wip1	NC_022094	RefSeq
Bacillus phage Zuko	NC_031116	Literature, NCBI Virus, RefSeq
Bacillus virus B103	NC_004165	Literature, NCBI Virus, RefSeq, UniProt
Bacillus virus BM15	NC_042140	Literature, NCBI Virus
Bacillus virus SPbeta	NC_001884	UniProt
Bacillus virus SPbeta	NC_001884	NCBI Virus, RefSeq, UniProt
Bacillus virus SRT01hs	NC_049973	Literature
Bacillus virus SRT01hs	NC_049973	Literature
Bacillus virus SRT01hs	NC_049973	Literature
Bacillus virus SRT01hs	NC_049973	Literature
Bacteriophage APSE-2	NC_011551	Literature
Bacteriophage DSS3_VP1	NC_055826	Literature
Bacteriophage K139	NC_003313	RefSeq
Bacteriophage Lily	NC_028841	Literature, RefSeq
Bacteriophage P2	NC_001895, NC_041848	Literature
Bacteriophage P2	NC_001895, NC_041848	Literature
Bacteriophage Phobos	NC_052977	Literature
Bacteriophage Phobos	NC_052977	Literature
Bacteriophage R18C	NC_049461	Literature
Bacteriophage R18C	NC_049461	Literature
Bacteriophage R18C	NC_049461	Literature
Bacteriophage Redbud	KP296794	Literature, NCBI Virus, RefSeq
Bacteroides phage B124-14	NC_016770	NCBI Virus, RefSeq
Bacteroides phage B40-8	NC_011222	Literature, NCBI Virus, RefSeq
Bacteroides phage crAss001	NC_049977	Literature, NCBI Virus, RefSeq
Bacteroides phage crAss002	NC_055828	Literature, NCBI Virus, RefSeq
Bacteroides phage DAC15	NC_055832	Literature, RefSeq
Bdellovibrio phage phi1402	NC_015721	Literature, NCBI Virus, RefSeq
Bdellovibrio phage phi1422	NC_019525	NCBI Virus, RefSeq
Bdellovibrio phage phiMH2K	NC_002643	RefSeq, UniProt
Bifidobacterium phage BadAargau2	NC_048859	Literature, RefSeq
Bifidobacterium phage BadAztec1	NC_048858	Literature, RefSeq
Bordetella phage BIP-1	AY526909	Literature
Bordetella phage BMP-1	AY526908	Literature
Bordetella phage BPP-1	NC_005357	RefSeq, UniProt
Bordetella phage CN1	NC_047876	Literature, RefSeq
Bordetella phage CN2	NC_047877	Literature, RefSeq
Bordetella phage FP1	NC_047878	Literature, RefSeq
Bordetella phage MW2	NC_047879	Literature, RefSeq
Bordetella phage vB_BbrM_PHB04	NC_047861	Literature, RefSeq
Brevibacillus phage Abouo	NC_029029	Literature
Brevibacillus phage Davies	NC_022980	RefSeq
Brevibacillus phage Emery	KC595516	Literature
Brevibacillus phage Emery	KC595516	Literature
Brevibacillus phage Jenst	NC_028805	Literature, RefSeq
Brevibacillus phage Jimmer1	NC_029104	Literature
Brevibacillus phage Jimmer2	NC_041976	Literature
Brevibacillus phage Osiris	NC_028969	Literature, RefSeq
Brevibacillus phage Sundance	NC_028749	Literature, NCBI Virus, RefSeq
Brevibacterium phage AGM1	NC_054989	Literature, RefSeq
Brochothrix phage A9	NC_015253	Literature, RefSeq
Brochothrix phage BL3	NC_015254	NCBI Virus, RefSeq
Brochothrix phage NF5	NC_015252	NCBI Virus, RefSeq
Brucella phage BiPBO1	NC_031264	Literature
Brucella phage BiPBO1	NC_031264	Literature
Brucella phage BiPBO1	NC_031264	Literature
Brucella phage BiPBO1	NC_031264	Literature
Brucella phage BiPBO1	NC_031264	Literature
Brucella phage Bk	KC556893	Literature
Brucella phage Bk	KC556893	Literature
Brucella phage Bk	KC556893	Literature
Brucella phage Bk	KC556893	Literature
Brucella phage F1	HG428758	Literature
Brucella phage F1	HG428758	Literature
Brucella phage F1	HG428758	Literature
Brucella phage Fz	KC556894	Literature
Brucella phage Fz	KC556894	Literature
Brucella phage Pr	NC_019447	Literature
Brucella phage Pr	NC_019447	Literature, RefSeq
Brucella phage Pr	NC_019447	Literature
Brucella phage R/C	KC556895	Literature
Brucella phage R/C	KC556895	Literature
Brucella phage R/C	KC556895	Literature
Brucella phage S708	KC556896	Literature, RefSeq
Brucella phage S708	KC556896	Literature
Brucella phage S708	KC556896	Literature
Brucella phage Tb	NC_019446	RefSeq
Brucella phage Wb	KC556898	Literature
Brucella phage Wb	KC556898	Literature
Brucella phage Wb	KC556898	Literature
Burkholderia phage AP3	NC_047752	RefSeq
Burkholderia phage Bcep1	NC_005263	RefSeq
Burkholderia phage Bcep176	NC_007497	NCBI Virus, RefSeq
Burkholderia phage Bcep22	NC_005262	Literature
Burkholderia phage Bcep43	NC_005342	RefSeq
Burkholderia phage Bcep781	NC_004333	RefSeq, UniProt
Burkholderia phage BcepB1A	NC_005886	Literature
Burkholderia phage BcepC6B	NC_005887	RefSeq
Burkholderia phage BcepF1	NC_009015	RefSeq
Burkholderia phage BcepGomr	NC_009447	NCBI Virus, RefSeq
Burkholderia phage BcepIL02	NC_012743	RefSeq
Burkholderia phage BcepMigl	NC_019917	RefSeq
Burkholderia phage BcepMu	NC_005882	UniProt
Burkholderia phage BcepNazgul	NC_005091	RefSeq
Burkholderia phage BcepNY3	NC_009604	RefSeq
Burkholderia phage BcepSaruman	NC_049850	RefSeq
Burkholderia phage BcepSauron	NC_049851	RefSeq
Burkholderia phage BEK	CP008753	RefSeq
Burkholderia phage Bp-AMP1	NC_047743	Literature, RefSeq
Burkholderia phage Bp-AMP1	NC_047743	Literature
Burkholderia phage Bp-AMP1	NC_047743	Literature
Burkholderia phage Bp-AMP1	NC_047743	Literature
Burkholderia phage Bp-AMP2	HG796219	NCBI Virus, RefSeq
Burkholderia phage Bp-AMP3	HG796220	NCBI Virus, RefSeq
Burkholderia phage Bp-AMP4	HG796221	NCBI Virus, RefSeq
Burkholderia phage DC1	NC_018452	RefSeq
Burkholderia phage FLC5	NC_055722	NCBI Virus, RefSeq
Burkholderia phage JG068	NC_022916	RefSeq
Burkholderia phage KL3	NC_015266	RefSeq
Burkholderia phage KS10	NC_011216	NCBI Virus, RefSeq
Burkholderia phage KS14	NC_015273	RefSeq
Burkholderia phage KS5	NC_015265	RefSeq
Burkholderia phage KS9	NC_013055	Literature, RefSeq
