gcf	find_name	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
GCF_000013425.1	Staphylococcus aureus	Reference	Complete Genome	1280	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__
GCF_000191145.1	Acinetobacter pittii	Reference	Complete Genome	48296	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii;t__
GCF_016127855.1	Actinomyces naeslundii	Represent	Complete Genome	1655	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii;t__
GCF_000014805.1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Unreference	Complete Genome	380703	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__Aeromonas hydrophila subsp. hydrophila ATCC 7966
GCF_002850695.3	Aeromonas hydrophila subsp. hydrophila	Unreference	Complete Genome	196023	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__Aeromonas hydrophila subsp. hydrophila
GCF_003015165.1	Aeromonas rivipollensis	Unreference	Complete Genome	948519	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas rivipollensis;t__
GCF_017310215.1	Aeromonas hydrophila	Represent	Complete Genome	644	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__
GCF_012931585.1	Aeromonas salmonicida	Represent	Complete Genome	645	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida;t__
GCF_008693705.1	Aeromonas veronii	Represent	Complete Genome	654	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii;t__
GCF_020683025.1	Aeromonas salmonicida subsp. salmonicida	Unreference	Complete Genome	29491	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida;t__Aeromonas salmonicida subsp. salmonicida
GCF_020423125.1	Aeromonas media	Represent	Complete Genome	651	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media;t__
GCF_000011125.1	Aeropyrum pernix	Represent	Complete Genome	56636	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum pernix;t__
GCF_000591035.1	Aeropyrum camini SY1 = JCM 12091	Represent	Complete Genome	1198449	strain	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum camini;t__Aeropyrum camini SY1 = JCM 12091
GCF_000146265.3	Aggregatibacter actinomycetemcomitans D11S-1	Unreference	Complete Genome	668336	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans;t__Aggregatibacter actinomycetemcomitans D11S-1
GCF_000442985.1	Agrobacterium fabacearum	Represent	Chromosome	1183401	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium fabacearum;t__
GCF_003667905.1	Agrobacterium tumefaciens	Represent	Complete Genome	358	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens;t__
GCF_000299995.1	Alteromonas macleodii str. 'Black Sea 11'	Unreference	Complete Genome	1004785	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii;t__Alteromonas macleodii str. 'Black Sea 11'
GCF_000310085.1	Alteromonas mediterranea DE1	Unreference	Complete Genome	1004786	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__Alteromonas mediterranea DE1
GCF_000300175.1	Alteromonas macleodii str. 'Balearic Sea AD45'	Unreference	Complete Genome	1004787	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii;t__Alteromonas macleodii str. 'Balearic Sea AD45'
GCF_000020585.3	Alteromonas mediterranea DE	Unreference	Complete Genome	1774373	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__Alteromonas mediterranea DE
GCF_001886435.1	Alteromonas mediterranea	Represent	Complete Genome	314275	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__
GCF_000009705.1	Nostoc sp. PCC 7120 = FACHB-418	Unreference	Complete Genome	103690	species	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. PCC 7120 = FACHB-418;t__
GCF_015326725.1	Anoxybacillus caldiproteolyticus	Represent	Complete Genome	247480	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus caldiproteolyticus;t__
GCF_001542565.1	Arthrobacter sp. ATCC 21022	Unreference	Complete Genome	1771959	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. ATCC 21022;t__
GCF_001577305.1	Sinomonas atrocyanea	Unreference	Complete Genome	37927	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Sinomonas;s__Sinomonas atrocyanea;t__
GCF_002091395.1	Candidatus Azobacteroides pseudotrichonymphae	Unreference	Complete Genome	511435	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Candidatus Azobacteroides;s__Candidatus Azobacteroides pseudotrichonymphae;t__
GCF_022023855.1	Azospirillum brasilense	Unreference	Complete Genome	192	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum brasilense;t__
GCF_000161615.1	Bacillus thuringiensis	Represent	Chromosome	1428	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
GCF_018309165.1	Bacillus cereus	Represent	Complete Genome	1396	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__
GCF_020535425.1	Bacillus pumilus	Unreference	Complete Genome	1408	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;t__
GCF_000008445.1	Bacillus anthracis	Represent	Complete Genome	1392	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis;t__
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	Reference	Complete Genome	224308	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis;t__Bacillus subtilis subsp. subtilis str. 168
GCF_000717535.1	Bacillus thuringiensis serovar kurstaki	Unreference	Complete Genome	29339	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
GCF_000160915.1	Bacillus cereus BGSC 6E1	Unreference	Chromosome	526970	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus BGSC 6E1
GCF_013113775.1	Bacillus thuringiensis serovar israelensis	Unreference	Complete Genome	1430	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
GCF_000832635.1	Bacillus anthracis str. Sterne	Unreference	Complete Genome	260799	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis;t__Bacillus anthracis str. Sterne
GCF_018739485.1	Bacillus mycoides	Represent	Complete Genome	1405	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus mycoides;t__
GCF_006094295.1	Bacillus cereus ATCC 14579	Unreference	Complete Genome	226900	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus ATCC 14579
GCF_000160895.1	Bacillus cereus ATCC 10876	Unreference	Chromosome	526980	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus ATCC 10876
GCF_002074095.1	Bacillus licheniformis	Represent	Complete Genome	1402	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis;t__
GCF_000742895.1	Bacillus anthracis str. Vollum	Unreference	Complete Genome	261591	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis;t__Bacillus anthracis str. Vollum
GCF_022537925.1	Priestia megaterium	Unreference	Complete Genome	1404	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia megaterium;t__
GCF_000832845.1	Bacillus cereus ATCC 4342	Unreference	Complete Genome	526977	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus ATCC 4342
GCF_000015065.1	Bacillus thuringiensis str. Al Hakam	Unreference	Complete Genome	412694	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__Bacillus thuringiensis str. Al Hakam
GCF_000025825.1	Priestia megaterium QM B1551	Unreference	Complete Genome	545693	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia megaterium;t__Priestia megaterium QM B1551
GCF_000225265.1	Priestia megaterium WSH-002	Unreference	Complete Genome	1006007	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia megaterium;t__Priestia megaterium WSH-002
GCF_000283675.1	Bacillus cereus NC7401	Unreference	Complete Genome	334406	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus NC7401
GCF_020773035.1	Bacillus subtilis subsp. natto	Unreference	Complete Genome	86029	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis;t__Bacillus subtilis subsp. natto
GCF_000338755.1	Bacillus thuringiensis serovar kurstaki str. HD73	Unreference	Complete Genome	1279365	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__Bacillus thuringiensis serovar kurstaki str. HD73
GCF_000408885.1	Bacillus paralicheniformis ATCC 9945a	Unreference	Complete Genome	766760	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis;t__Bacillus paralicheniformis ATCC 9945a
GCF_002243645.1	Peribacillus simplex	Represent	Complete Genome	1478	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Peribacillus;s__Peribacillus simplex;t__
GCF_000025805.1	Priestia megaterium DSM 319	Unreference	Complete Genome	592022	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia megaterium;t__Priestia megaterium DSM 319
GCF_000242855.2	Bacillus amyloliquefaciens	Represent	Complete Genome	1390	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus amyloliquefaciens;t__
GCF_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580	Unreference	Complete Genome	279010	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis;t__Bacillus licheniformis DSM 13 = ATCC 14580
GCF_000017885.4	Bacillus pumilus SAFR-032	Unreference	Complete Genome	315750	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;t__Bacillus pumilus SAFR-032
GCF_006088795.1	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	Unreference	Complete Genome	535026	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis;t__Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10
GCF_000015785.2	Bacillus velezensis FZB42	Unreference	Complete Genome	326423	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis;t__Bacillus velezensis FZB42
GCF_001191605.1	Bacillus altitudinis	Represent	Complete Genome	293387	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis;t__
GCF_000021705.1	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	Represent	Chromosome	572265	forma specialis	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Candidatus Hamiltonella;s__Candidatus Hamiltonella defensa;t__
GCF_000011965.2	Ruegeria pomeroyi DSS-3	Represent	Complete Genome	246200	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Ruegeria;s__Ruegeria pomeroyi;t__Ruegeria pomeroyi DSS-3
GCF_008369605.1	Vibrio cholerae	Represent	Complete Genome	666	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae;t__
GCF_002951935.1	Paenibacillus larvae	Represent	Complete Genome	1464	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus larvae;t__
GCF_000005845.2	Escherichia coli K-12	Reference	Complete Genome	83333	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli K-12
GCF_002079225.1	Escherichia coli C	Unreference	Complete Genome	498388	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli C
GCF_002905815.2	Pseudomonas syringae pv. syringae	Unreference	Complete Genome	321	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
GCF_000007805.1	Pseudomonas syringae pv. tomato	Represent	Complete Genome	323	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae group genomosp. 3;t__
GCF_013374815.1	Shigella sonnei	Represent	Complete Genome	624	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei;t__
GCF_021278985.1	Citrobacter rodentium	Represent	Complete Genome	67825	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter rodentium;t__
GCF_016889925.1	Bacteroides fragilis	Represent	Complete Genome	817	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis;t__
GCF_020341675.1	Bacteroides intestinalis	Represent	Chromosome	329854	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis;t__
GCF_018289135.1	Bacteroides xylanisolvens	Represent	Complete Genome	371601	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens;t__
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482	Unreference	Complete Genome	226186	strain	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron;t__Bacteroides thetaiotaomicron VPI-5482
GCF_000691605.1	Bdellovibrio bacteriovorus	Represent	Complete Genome	959	species	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus;t__
GCF_000304215.1	Bifidobacterium asteroides	Represent	Complete Genome	1684	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium asteroides;t__
GCF_900636925.1	Bordetella bronchiseptica	Represent	Complete Genome	518	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella;s__Bordetella bronchiseptica;t__
GCF_002082155.1	Paenibacillus larvae subsp. pulvifaciens	Unreference	Complete Genome	1477	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus larvae;t__Paenibacillus larvae subsp. pulvifaciens
GCF_002706795.1	Brevibacillus laterosporus	Represent	Complete Genome	1465	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__Brevibacillus laterosporus;t__
GCF_003932995.1	Brevibacterium aurantiacum	Represent	Complete Genome	273384	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium aurantiacum;t__
GCF_001703515.1	Brochothrix thermosphacta	Represent	Complete Genome	2756	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Brochothrix;s__Brochothrix thermosphacta;t__
GCF_000054005.1	Brucella abortus	Represent	Complete Genome	235	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus;t__
GCF_000007125.1	Brucella melitensis	Represent	Complete Genome	29459	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella melitensis;t__
GCF_000007505.1	Brucella suis	Represent	Complete Genome	29461	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella suis;t__
GCF_000221005.1	Brucella pinnipedialis B2/94	Unreference	Complete Genome	520461	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella pinnipedialis;t__Brucella pinnipedialis B2/94
GCF_000022745.1	Brucella microti CCM 4915	Represent	Complete Genome	568815	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella microti;t__Brucella microti CCM 4915
GCF_000018725.1	Brucella abortus S19	Unreference	Complete Genome	430066	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus;t__Brucella abortus S19
GCF_001718895.1	Burkholderia cenocepacia	Represent	Complete Genome	95486	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__
GCF_021484945.1	Burkholderia cepacia	Unreference	Complete Genome	292	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cepacia;t__
GCF_016127755.1	Burkholderia ambifaria	Represent	Complete Genome	152480	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia ambifaria;t__
GCF_000009485.1	Burkholderia cenocepacia J2315	Unreference	Complete Genome	216591	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__Burkholderia cenocepacia J2315
GCF_000203955.1	Burkholderia cenocepacia HI2424	Unreference	Complete Genome	331272	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__Burkholderia cenocepacia HI2424
GCF_000756125.1	Burkholderia pseudomallei	Represent	Complete Genome	28450	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__
GCF_000959285.1	Burkholderia pseudomallei K96243	Unreference	Complete Genome	272560	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei K96243
GCF_000193455.1	Burkholderia pseudomallei 1710a	Unreference	Chromosome	320371	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1710a
GCF_000756185.1	Burkholderia pseudomallei 576	Unreference	Complete Genome	557724	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 576
GCF_000959205.1	Burkholderia pseudomallei MSHR491	Unreference	Complete Genome	1249473	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei MSHR491
GCF_009931375.1	Burkholderia glumae	Represent	Complete Genome	337	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia glumae;t__
GCF_001028665.1	Burkholderia pyrrocinia	Represent	Complete Genome	60550	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pyrrocinia;t__
GCF_016698705.1	Burkholderia gladioli	Represent	Complete Genome	28095	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia gladioli;t__
