host_name	host_taxid	host_tax_rank	host_lineage	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Acinetobacter baylyi ADP1	62977	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter baylyi	Acinetobacter baylyi ADP1	['GCF_000046845.1']	GCF_000046845.1	Represent	Complete Genome	62977	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi;t__Acinetobacter baylyi ADP1
Acinetobacter baumannii ATCC 17978	400667	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	Acinetobacter baumannii ATCC 17978	['GCF_013372085.1', 'GCF_004797155.2', 'GCF_004797155.1', 'GCF_000015425.1', 'GCF_004794235.2', 'GCF_004794275.2', 'GCF_004794275.1', 'GCF_004794235.1']	GCF_013372085.1	Unreference	Complete Genome	400667	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__Acinetobacter baumannii ATCC 17978
Acinetobacter soli	487316	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	Acinetobacter soli	['GCF_018139125.1']	GCF_018139125.1	Represent	Complete Genome	487316	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli;t__
Acinetobacter baumannii NIPH 2061	1217645	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter nosocomialis	106654	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	Acinetobacter nosocomialis	['GCF_005281455.1']	GCF_005281455.1	Represent	Complete Genome	106654	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis;t__
Staphylococcus aureus	1280	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus aureus	['GCF_000013425.1']	GCF_000013425.1	Reference	Complete Genome	1280	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__
Acinetobacter baumannii A118	927193	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter pittii	48296	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	Acinetobacter pittii	['GCF_000191145.1']	GCF_000191145.1	Reference	Complete Genome	48296	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii;t__
Acinetobacter baumannii NIPH 290	1217631	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Actinomyces naeslundii	1655	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces	Actinomyces naeslundii	['GCF_016127855.1']	GCF_016127855.1	Represent	Complete Genome	1655	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii;t__
Actinomyces naeslundii MG1	240017	strain	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces naeslundii	Actinomyces naeslundii	['GCF_016127855.1']	GCF_016127855.1	Represent	Complete Genome	1655	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii;t__
Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila; Aeromonas hydrophila subsp. hydrophila	Aeromonas hydrophila subsp. hydrophila ATCC 7966	['GCF_000014805.1']	GCF_000014805.1	Unreference	Complete Genome	380703	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__Aeromonas hydrophila subsp. hydrophila ATCC 7966
Aeromonas hydrophila subsp. hydrophila	196023	subspecies	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	Aeromonas hydrophila subsp. hydrophila	['GCF_002850695.3', 'GCF_002850695.2', 'GCF_000633175.1', 'GCF_000014805.1']	GCF_002850695.3	Unreference	Complete Genome	196023	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__Aeromonas hydrophila subsp. hydrophila
Aeromonas rivipollensis	948519	species	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	Aeromonas rivipollensis	['GCF_003015165.1']	GCF_003015165.1	Unreference	Complete Genome	948519	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas rivipollensis;t__
Aeromonas hydrophila	644	species	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	Aeromonas hydrophila	['GCF_017310215.1']	GCF_017310215.1	Represent	Complete Genome	644	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila;t__
Aeromonas salmonicida	645	species	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	Aeromonas salmonicida	['GCF_012931585.1']	GCF_012931585.1	Represent	Complete Genome	645	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida;t__
Aeromonas veronii	654	species	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	Aeromonas veronii	['GCF_008693705.1']	GCF_008693705.1	Represent	Complete Genome	654	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii;t__
Aeromonas salmonicida subsp. salmonicida	29491	subspecies	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas salmonicida	Aeromonas salmonicida subsp. salmonicida	['GCF_020683025.1', 'GCF_001643275.2', 'GCF_009858135.1', 'GCF_009858115.1', 'GCF_008370735.1', 'GCF_003692675.1', 'GCF_000196395.1', 'GCA_012933685.1']	GCF_020683025.1	Unreference	Complete Genome	29491	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida;t__Aeromonas salmonicida subsp. salmonicida
Aeromonas media	651	species	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	Aeromonas media	['GCF_020423125.1']	GCF_020423125.1	Represent	Complete Genome	651	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media;t__
Aeropyrum pernix	56636	species	Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum	Aeropyrum pernix	['GCF_000011125.1']	GCF_000011125.1	Represent	Complete Genome	56636	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum pernix;t__
Aeropyrum pernix K1	272557	strain	Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum; Aeropyrum pernix	Aeropyrum pernix K1	['GCF_000011125.1']	GCF_000011125.1	Represent	Complete Genome	272557	strain	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum pernix;t__Aeropyrum pernix K1
Aeropyrum camini SY1 = JCM 12091	1198449	strain	Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum; Aeropyrum camini	Aeropyrum camini SY1 = JCM 12091	['GCF_000591035.1']	GCF_000591035.1	Represent	Complete Genome	1198449	strain	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum camini;t__Aeropyrum camini SY1 = JCM 12091
Aggregatibacter actinomycetemcomitans D11S-1	668336	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter; Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans D11S-1	['GCF_000146265.3', 'GCF_000146265.2', 'GCF_000146265.1', 'GCA_000146265.3']	GCF_000146265.3	Unreference	Complete Genome	668336	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans;t__Aggregatibacter actinomycetemcomitans D11S-1
Agrobacterium fabacearum	1183401	species	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex	Agrobacterium fabacearum	['GCF_000442985.1']	GCF_000442985.1	Represent	Chromosome	1183401	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium fabacearum;t__
Agrobacterium tumefaciens	358	species	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex	Agrobacterium tumefaciens	['GCF_003667905.1']	GCF_003667905.1	Represent	Complete Genome	358	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens;t__
Alteromonas macleodii str. 'Black Sea 11'	1004785	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas macleodii	Alteromonas macleodii str. 'Black Sea 11'	['GCF_000299995.1']	GCF_000299995.1	Unreference	Complete Genome	1004785	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii;t__Alteromonas macleodii str. 'Black Sea 11'
Alteromonas mediterranea DE1	1004786	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas mediterranea	Alteromonas mediterranea DE1	['GCF_000310085.1']	GCF_000310085.1	Unreference	Complete Genome	1004786	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__Alteromonas mediterranea DE1
Alteromonas macleodii str. 'Balearic Sea AD45'	1004787	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas macleodii	Alteromonas macleodii str. 'Balearic Sea AD45'	['GCF_000300175.1']	GCF_000300175.1	Unreference	Complete Genome	1004787	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii;t__Alteromonas macleodii str. 'Balearic Sea AD45'
Alteromonas mediterranea DE	1774373	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas mediterranea	Alteromonas mediterranea DE	['GCF_000020585.3']	GCF_000020585.3	Unreference	Complete Genome	1774373	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__Alteromonas mediterranea DE
Alteromonas mediterranea	314275	species	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas	Alteromonas mediterranea	['GCF_001886435.1']	GCF_001886435.1	Represent	Complete Genome	314275	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea;t__
Nostoc sp. PCC 7120 = FACHB-418	103690	species	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Nostocales; Nostocaceae; Nostoc	Nostoc sp. PCC 7120 = FACHB-418	['GCF_000009705.1']	GCF_000009705.1	Unreference	Complete Genome	103690	species	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. PCC 7120 = FACHB-418;t__
Anoxybacillus caldiproteolyticus	247480	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Anoxybacillus	Anoxybacillus caldiproteolyticus	['GCF_015326725.1']	GCF_015326725.1	Represent	Complete Genome	247480	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus caldiproteolyticus;t__
Arthrobacter sp. ATCC 21022	1771959	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Micrococcaceae; Arthrobacter	Arthrobacter sp. ATCC 21022	['GCF_001542565.1']	GCF_001542565.1	Unreference	Complete Genome	1771959	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. ATCC 21022;t__
Sinomonas atrocyanea	37927	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Micrococcaceae; Sinomonas	Sinomonas atrocyanea	['GCF_001577305.1']	GCF_001577305.1	Unreference	Complete Genome	37927	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Sinomonas;s__Sinomonas atrocyanea;t__
Candidatus Azobacteroides pseudotrichonymphae	511435	species	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Candidatus Azobacteroides	Candidatus Azobacteroides pseudotrichonymphae	['GCF_002091395.1', 'GCF_000010645.1']	GCF_002091395.1	Unreference	Complete Genome	511435	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Candidatus Azobacteroides;s__Candidatus Azobacteroides pseudotrichonymphae;t__
Azospirillum brasilense	192	species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Azospirillaceae; Azospirillum	Azospirillum brasilense	['GCF_022023855.1', 'GCF_008274965.1', 'GCF_008274945.1', 'GCF_005222205.1', 'GCF_005222165.1', 'GCF_005222145.1', 'GCF_001315015.1', 'GCF_000632475.1', 'GCF_005222185.1']	GCF_022023855.1	Unreference	Complete Genome	192	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum brasilense;t__
Bacillus thuringiensis	1428	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus thuringiensis	['GCF_000161615.1']	GCF_000161615.1	Represent	Chromosome	1428	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
Bacillus cereus	1396	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus cereus	['GCF_018309165.1']	GCF_018309165.1	Represent	Complete Genome	1396	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__
Bacillus pumilus BL8	1189615	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus pumilus	Bacillus pumilus	['GCF_020535425.1', 'GCF_020520205.1', 'GCF_014489355.1', 'GCF_013423765.1', 'GCF_003431975.1', 'GCF_004006455.1', 'GCF_003571425.1', 'GCF_900186955.1', 'GCF_001908475.1', 'GCF_001704975.1', 'GCF_000017885.4', 'GCF_001578205.1', 'GCF_001578165.1', 'GCF_000017885.3', 'GCF_001548215.1', 'GCF_000017885.2', 'GCF_000590455.1', 'GCF_000017885.1', 'GCA_019710455.1', 'GCF_009937765.1', 'GCF_001687085.1', 'GCA_000691485.4', 'GCA_000691485.3', 'GCA_000714495.3']	GCF_020535425.1	Unreference	Complete Genome	1408	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;t__
Bacillus anthracis	1392	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus anthracis	['GCF_000008445.1']	GCF_000008445.1	Represent	Complete Genome	1392	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis;t__
Bacillus subtilis subsp. subtilis str. 168	224308	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group; Bacillus subtilis; Bacillus subtilis subsp. subtilis	Bacillus subtilis subsp. subtilis str. 168	['GCF_000009045.1']	GCF_000009045.1	Reference	Complete Genome	224308	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis;t__Bacillus subtilis subsp. subtilis str. 168
Bacillus thuringiensis serovar kurstaki	29339	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus thuringiensis serovar kurstaki	['GCF_000717535.1', 'GCF_000747545.1', 'GCF_000688795.1', 'GCF_000338755.1', 'GCF_000092165.1', 'GCF_000835235.1', 'GCF_000161575.1']	GCF_000717535.1	Unreference	Complete Genome	29339	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
Bacillus cereus BGSC 6E1	526970	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus	Bacillus cereus BGSC 6E1	['GCF_000160915.1']	GCF_000160915.1	Unreference	Chromosome	526970	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus BGSC 6E1
Bacillus thuringiensis serovar israelensis	1430	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus thuringiensis serovar israelensis	['GCF_013113775.1', 'GCF_003445395.2', 'GCF_003445395.1']	GCF_013113775.1	Unreference	Complete Genome	1430	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis;t__
Bacillus anthracis str. Sterne	260799	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus anthracis	Bacillus anthracis str. Sterne	['GCF_000832635.1', 'GCF_000008165.1']	GCF_000832635.1	Unreference	Complete Genome	260799	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis;t__Bacillus anthracis str. Sterne
Bacillus pumilus	1408	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus	Bacillus pumilus	['GCF_020535425.1', 'GCF_020520205.1', 'GCF_014489355.1', 'GCF_013423765.1', 'GCF_003431975.1', 'GCF_004006455.1', 'GCF_003571425.1', 'GCF_900186955.1', 'GCF_001908475.1', 'GCF_001704975.1', 'GCF_000017885.4', 'GCF_001578205.1', 'GCF_001578165.1', 'GCF_000017885.3', 'GCF_001548215.1', 'GCF_000017885.2', 'GCF_000590455.1', 'GCF_000017885.1', 'GCA_019710455.1', 'GCF_009937765.1', 'GCF_001687085.1', 'GCA_000691485.4', 'GCA_000691485.3', 'GCA_000714495.3']	GCF_020535425.1	Unreference	Complete Genome	1408	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;t__
Bacillus mycoides	1405	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacillus mycoides	['GCF_018739485.1']	GCF_018739485.1	Represent	Complete Genome	1405	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus mycoides;t__
Bacillus cereus ATCC 14579	226900	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus	Bacillus cereus ATCC 14579	['GCF_006094295.1', 'GCF_000007825.1']	GCF_006094295.1	Unreference	Complete Genome	226900	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus;t__Bacillus cereus ATCC 14579
