virus_name	refseq_id	virus_taxid	virus_lineage	evidence	host_name	host_taxid	host_lineage	host_rank
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	2591043	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy12;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	2591048	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy24;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species
Acidianus bottle-shaped virus	NC_009452	437444	k__Viruses;p__;c__;o__;f__Ampullaviridae;g__Bottigliavirus;s__Bottigliavirus ABV;t__	RefSeq, UniProt	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidianus filamentous virus 1	NC_005830	235266	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Gammalipothrixvirus;s__Acidianus filamentous virus 1;t__	NCBI Virus, RefSeq, UniProt	Acidianus infernus	12915	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus;t__	species
Acidianus filamentous virus 1	NC_005830	235266	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Gammalipothrixvirus;s__Acidianus filamentous virus 1;t__	UniProt	Acidianus hospitalis	563177	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis;t__	species
Acidianus filamentous virus 2	NC_009884	300186	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Deltalipothrixvirus;s__Acidianus filamentous virus 2;t__	NCBI Virus, RefSeq	Acidianus pozzuoliensis	314564	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus pozzuoliensis;t__	species
Acidianus filamentous virus 2	NC_009884	300186	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Deltalipothrixvirus;s__Acidianus filamentous virus 2;t__	UniProt	Acidianus sp. F28	315458	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sp. F28;t__	species
Acidianus filamentous virus 3	NC_010155	346881	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 3;t__	Literature	Acidianus sp. Acii25	315461	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sp. Acii25;t__	species
Acidianus filamentous virus 6	NC_010152	346882	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 6;t__	NCBI Virus, RefSeq	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidianus filamentous virus 7	NC_010153	346883	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 7;t__	NCBI Virus, RefSeq	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidianus filamentous virus 8	NC_010154	346884	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 8;t__	NCBI Virus, RefSeq	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidianus filamentous virus 9	NC_010537	512792	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 9;t__	Literature	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidianus filamentous virus 9	NC_010537	512792	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 9;t__	Literature, NCBI Virus, RefSeq	Acidianus uzoniensis	518068	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus uzoniensis;t__	species
Acidianus rod-shaped virus 1	NC_009965	309181	k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Rudiviridae;g__Itarudivirus;s__Itarudivirus ARV1;t__	RefSeq	Acidianus sp. Acii26	315460	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sp. Acii26;t__	species
Acidianus spindle-shaped virus 1	NC_013585	693629	k__Viruses;p__;c__;o__;f__Fuselloviridae;g__Betafusellovirus;s__Acidianus spindle-shaped virus 1;t__	Literature, NCBI Virus, RefSeq	Acidianus brierleyi	41673	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi;t__	species
Acidianus two-tailed virus	NC_007409	315953	k__Viruses;p__;c__;o__;f__Bicaudaviridae;g__Bicaudavirus;s__Acidianus two-tailed virus;t__	NCBI Virus, RefSeq, UniProt	Acidianus convivator	269667	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator;t__	species
Acidithiobacillus phage AcaML1	JX507079	1229761	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Acidithiobacillus phage AcaML1;t__	Literature, NCBI Virus, RefSeq	Acidithiobacillus caldus ATCC 51756	637389	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756	strain
Acidovorax phage ACP17	NC_041997	2010329	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Busanvirus;s__Acidovorax virus ACP17;t__	Literature, RefSeq	Acidovorax citrulli	80869	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli;t__	species
Acinetobacter phage AB1	NC_042028	889876	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AB1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage AbKT21phiIII	NC_048142	2500826	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus AbKT21III;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Abp1	NC_021316	1235824	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus Abp1;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage AbP2	NC_041998	2015804	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AbP2;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage AbTZA1	NC_049445	2500827	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Hadassahvirus;s__Acinetobacter virus AbTZA1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Acj61	NC_014661	760732	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lasallevirus;s__Acinetobacter virus Acj61;t__	Literature, RefSeq	Acinetobacter johnsonii	40214	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__	species
Acinetobacter phage Acj9	NC_014663	760939	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Acajnonavirus;s__Acinetobacter virus Acj9;t__	Literature, RefSeq	Acinetobacter johnsonii	40214	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__	species
Acinetobacter phage AM101	NC_049511	2178927	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus AM101;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage AP205	NC_002700	154784	k__Viruses;p__Lenarviricota;c__Leviviricetes;o__Norzivirales;f__Duinviridae;g__Apeevirus;s__Apeevirus quebecense;t__	Literature, RefSeq	Acinetobacter genomosp. 16BJ	70347	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter genomosp. 16BJ;t__	species
Acinetobacter phage AP22	NC_017984	1187128	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AP22;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Fri1	NC_028848	1647373	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus Fri1;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage IME-200	NC_028987	1735582	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus IME200;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage IMEAB3	NC_023590	1458669	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus IMEAB3;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage KARL-1	NC_049441	2301662	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus KARL1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter lwoffii	28090	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii;t__	species
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature	Acinetobacter baylyi ADP1	62977	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi;t__Acinetobacter baylyi ADP1	strain
Acinetobacter phage Loki	NC_042137	1970374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Lokivirus;s__Acinetobacter virus Loki;t__	Literature, RefSeq	Acinetobacter baumannii ATCC 17978	400667	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__Acinetobacter baumannii ATCC 17978	strain
Acinetobacter phage LZ35	NC_031117	1792222	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus LZ35;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage Petty	NC_023570	1406779	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Pettyvirus;s__Acinetobacter virus Petty;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage phiAB1	NC_028675	691318	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus phiAB1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage phiAB6	NC_031086	1698439	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus phiAB6;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage phiAC-1	NC_028995	1229760	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Acinetobacter phage phiAC-1;t__	Literature, NCBI Virus, RefSeq	Acinetobacter soli	487316	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli;t__	species
Acinetobacter phage Presley	NC_023581	1406780	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Presleyvirus;s__Acinetobacter virus Presley;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage SH-Ab 15519	NC_041905	1916127	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus SH-Ab 15519;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage SWH-Ab-1	NC_047896	2053604	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus SWHAb1;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage SWH-Ab-3	NC_047883	2059857	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus SWHAb3;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	1243183	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AB2;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	1481186	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Saclayvirus;s__Acinetobacter phage vB_AbaM_Acibel004;t__	NCBI Virus, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM_Apostate	NC_049491	2686308	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus Apostate;t__	RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM_B09_Aci01-1	NC_048074	2315466	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Saclayvirus;s__Acinetobacter virus Aci01-1;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM_B09_Aci02-2	NC_048075	2315467	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Saclayvirus;s__Acinetobacter virus Aci02-2;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
Acinetobacter phage vB_AbaM_B09_Aci05	NC_048080	2315458	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Saclayvirus;s__Acinetobacter virus Aci05;t__	Literature, RefSeq	Acinetobacter baumannii	470	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__	species
