host	virus	species_tag	genus_tag
GCF_018200015.1	NC_013758.1	0	1
GCF_019175345.1	NC_034625.1	0	0
GCF_019443925.1	NC_019782.1	1	1
GCF_019552185.1	NC_019490.1	1	1
GCF_019890875.1	NC_027982.1	1	1
GCF_019890875.1	NC_029058.1	1	1
GCF_020691705.1	NC_031940.1	1	1
GCF_020809485.1	NC_004827.1	1	1
GCF_020809485.1	NC_013597.1	1	1
GCF_021091115.1	NC_009554.1	1	1
GCF_021091115.1	NC_028835.1	0	0
GCF_021278985.1	NC_005857.1	0	0
GCF_021278985.1	NC_027995.1	0	0
GCF_022117515.1	NC_042346.1	1	1
GCF_022350005.1	NC_000929.1	0	0
GCF_022409615.1	NC_004902.1	1	1
GCF_022409615.1	NC_009543.1	1	1
GCF_900475035.1	NC_004584.1	1	1
GCF_900475035.1	NC_004586.1	1	1
GCF_901544385.1	NC_010945.1	1	1
GCF_901544385.1	NC_031907.1	0	1
GCF_903886475.1	NC_020197.1	1	1
GCF_903886475.1	NC_002185.1	1	1
GCF_903886475.1	NC_004303.1	1	1
GCF_903886475.1	NC_031069.1	1	1
GCF_903886475.1	NC_022776.1	1	1
GCF_903886475.1	NC_000871.1	1	1
GCF_000005845.2	NC_049953.1	1	1
GCF_000005845.2	NC_049955.1	1	1
GCF_000005845.2	NC_042057.1	1	1
GCF_000005845.2	NC_019723.1	1	1
GCF_000005845.2	NC_019711.1	1	1
GCF_000005845.2	NC_049954.1	1	1
GCF_000005845.2	NC_049951.1	1	1
GCF_000005845.2	NC_001416.1	1	1
GCF_000005845.2	NC_049949.1	1	1
GCF_000005845.2	NC_049946.1	1	1
GCF_000005845.2	NC_049948.1	1	1
GCF_000005845.2	NC_049947.1	1	1
GCF_000005845.2	NC_003444.1	0	0
GCF_000005845.2	NC_019716.1	1	1
GCF_000005845.2	NC_049952.1	1	1
GCF_000005845.2	NC_009514.1	1	1
GCF_000005845.2	NC_027339.1	0	0
GCF_000005845.2	NC_049923.1	1	1
GCF_000005845.2	NC_027984.1	1	1
GCF_000005845.2	NC_049921.1	1	1
GCF_000005845.2	NC_049942.1	1	1
GCF_000005845.2	NC_030919.1	0	0
GCF_000005845.2	NC_049920.1	1	1
GCF_000005845.2	NC_004913.3	1	1
GCF_000005845.2	NC_008464.1	1	1
GCF_000005845.2	KJ909655.1	1	1
GCF_000005845.2	NC_019442.1	1	1
GCF_000005845.2	NC_029120.1	0	0
GCF_000005845.2	NC_000924.1	1	1
GCF_000005845.2	NC_041935.1	1	1
GCF_000005845.2	NC_049919.1	1	1
GCF_000005845.2	NC_049925.1	1	1
GCF_000005845.2	AP004402.1	1	1
GCF_000005845.2	NC_004914.3	1	1
GCF_000005845.2	NC_049918.1	1	1
GCF_000005845.2	NC_005856.1	1	1
GCF_000005845.2	NC_010237.1	1	1
GCF_000005845.2	NC_049922.1	1	1
GCF_000005845.2	NC_028449.1	1	1
GCF_000005845.2	NC_049944.1	1	1
GCF_000005845.2	NC_049924.1	1	1
GCF_000005845.2	NC_049941.1	1	1
GCF_000005845.2	NC_028656.1	1	1
GCF_000005845.2	NC_042128.1	1	1
GCF_000005845.2	NC_049943.1	1	1
GCF_000005845.2	NC_049945.1	1	1
GCF_000005845.2	NC_019704.1	1	1
GCF_000005845.2	NC_011357.1	1	1
GCF_000005845.2	NC_011356.1	1	1
GCF_000005845.2	NC_004813.1	1	1
GCF_000006865.1	NC_002667.1	1	1
GCF_000006865.1	NC_002668.1	1	1
GCF_000006865.1	NC_002671.1	1	1
GCF_000006865.1	NC_002666.1	1	1
GCF_000006865.1	NC_002669.1	1	1
GCF_000006865.1	NC_004746.1	1	1
GCF_000006865.1	NC_056724.1	1	1
GCF_000006865.1	NC_002796.1	1	1
GCF_000006865.1	NC_002703.1	1	1
GCF_000006865.1	NC_002747.1	1	1
GCF_000006865.1	DQ394808.1	1	1
GCF_000006865.1	NC_004066.1	1	1
GCF_000006865.1	DQ394806.1	1	1
GCF_000006865.1	DQ838728.1	1	1
GCF_000006865.1	NC_002670.1	1	1
GCF_000006865.1	NC_031064.1	1	1
GCF_000006865.1	NC_049809.1	1	1
GCF_000006865.1	DQ394807.1	1	1
GCF_000006865.1	DQ394809.1	1	1
GCF_000006865.1	NC_005822.1	0	1
GCF_000006865.1	NC_031040.1	1	1
GCF_000006865.1	NC_004302.1	1	1
GCF_000006865.1	NC_049481.1	1	1
GCF_000006865.1	NC_031013.1	1	1
GCF_000006865.1	NC_031017.1	1	1
GCF_000006865.1	NC_049488.1	1	1
GCF_000006865.1	NC_055050.1	0	1
GCF_000006865.1	NC_049398.1	1	1
GCF_000006865.1	NC_049482.1	1	1
GCF_000006865.1	NC_049351.1	0	1
GCF_000006865.1	NC_049487.1	1	1
GCF_000006865.1	NC_049354.1	1	1
GCF_000006865.1	NC_013154.1	0	1
GCF_000006865.1	NC_013153.1	1	1
GCF_000006865.1	NC_049369.1	1	1
GCF_000006865.1	NC_049474.1	1	1
GCF_000006865.1	NC_049811.1	1	1
GCF_000006865.1	NC_049420.1	0	1
GCF_000006865.1	NC_049421.1	0	1
GCF_000006865.1	NC_049416.1	0	1
GCF_000006865.1	NC_049409.1	1	1
GCF_000006865.1	NC_021861.1	1	1
GCF_000006865.1	NC_049812.1	1	1
GCF_000006865.1	NC_049418.1	0	1
GCF_000006865.1	NC_049424.1	1	1
GCF_000006865.1	NC_049422.1	0	1
GCF_000006865.1	NC_049419.1	0	1
GCF_000006865.1	NC_049400.1	1	1
GCF_000006865.1	NC_049423.1	0	1
GCF_000006865.1	NC_049358.1	1	1
GCF_000006865.1	NC_049412.1	1	1
GCF_000006865.1	NC_001909.1	1	1
GCF_000006865.1	NC_049403.1	1	1
GCF_000006865.1	NC_049366.1	1	1
GCF_000006865.1	NC_049365.1	1	1
GCF_000006865.1	NC_049446.1	1	1
GCF_000006865.1	NC_049434.1	1	1
GCF_000006865.1	NC_031016.1	0	1
GCF_000006865.1	NC_027341.1	1	1
GCF_000006865.1	NC_023574.1	0	1
GCF_000006925.2	NC_019716.1	0	0
GCF_000006925.2	NC_009514.1	0	0
GCF_000006925.2	NC_049946.1	0	0
GCF_000006925.2	NC_049948.1	0	0
GCF_000006925.2	NC_003356.1	0	0
GCF_000006925.2	NC_049955.1	0	0
GCF_000006925.2	NC_049953.1	0	0
GCF_000006925.2	NC_049947.1	0	0
GCF_000006925.2	NC_049954.1	0	0
GCF_000006925.2	NC_049951.1	0	0
GCF_000006925.2	NC_042057.1	0	0
GCF_000006925.2	NC_049952.1	0	0
GCF_000006925.2	NC_019723.1	0	0
GCF_000006925.2	NC_019711.1	0	0
GCF_000006925.2	NC_028696.2	0	0
GCF_000006925.2	NC_001416.1	0	0
GCF_000006925.2	NC_049949.1	0	0
GCF_000006925.2	NC_005344.1	1	1
GCF_000006925.2	AF547987.1	1	1
GCF_000006925.2	NC_021857.1	1	1
GCF_000006925.2	NC_049941.1	0	0
GCF_000006925.2	NC_004813.1	0	0
GCF_000006925.2	NC_000929.1	0	0
GCF_000006925.2	NC_027382.1	1	1
GCF_000006925.2	NC_013594.1	0	0
GCF_000006925.2	NC_022749.1	1	1
GCF_000006925.2	NC_027984.1	0	0
GCF_000006925.2	NC_027398.1	1	1
GCF_000006925.2	NC_041935.1	0	0
GCF_000006925.2	NC_011357.1	0	0
GCF_000006925.2	NC_049943.1	0	0
GCF_000006925.2	NC_049942.1	0	0
GCF_000006925.2	NC_049945.1	0	0
GCF_000006925.2	NC_010237.1	0	0
GCF_000006925.2	NC_049924.1	0	0
GCF_000006925.2	NC_019706.1	0	0
GCF_000006925.2	NC_013059.1	0	0
GCF_000006925.2	NC_049923.1	0	0
GCF_000006925.2	NC_011976.1	0	0
GCF_000006925.2	NC_006949.1	0	0
GCF_000006925.2	NC_049919.1	0	0
GCF_000006925.2	NC_002167.1	0	0
GCF_000006925.2	NC_004914.3	0	0
GCF_000006925.2	NC_049922.1	0	0
GCF_000006925.2	NC_028449.1	0	0
GCF_000006925.2	NC_019768.1	0	0
GCF_000006925.2	NC_028656.1	0	0
GCF_000006925.2	NC_026014.1	0	0
GCF_000006925.2	NC_049944.1	0	0
GCF_000006925.2	NC_011356.1	0	0
GCF_000006925.2	NC_005856.1	0	0
GCF_000006925.2	NC_042128.1	0	0
GCF_000006945.2	NC_010393.1	1	1
GCF_000006945.2	NC_010392.1	1	1
GCF_000006945.2	NC_010463.1	1	1
GCF_000006945.2	NC_010391.1	1	1
GCF_000006945.2	NC_047753.1	1	1
GCF_000006945.2	NC_019488.1	1	1
GCF_000006945.2	NC_019545.1	1	1
GCF_000006945.2	NC_049342.1	0	0
GCF_000006945.2	NC_028699.1	1	1
GCF_000006945.2	NC_004313.1	1	1
GCF_000006945.2	NC_029015.2	1	1
GCF_000006945.2	NC_028701.2	1	1
GCF_000006945.2	NC_031940.1	1	1
GCF_000006945.2	NC_031129.1	1	1
GCF_000007245.1	NC_013599.1	1	1
GCF_000007425.1	NC_004589.1	1	1
GCF_000007425.1	NC_004585.1	1	1
GCF_000007425.1	NC_004584.1	1	1
GCF_000007425.1	NC_004587.1	1	1
GCF_000007425.1	NC_003157.5	1	1
GCF_000007425.1	NC_028700.1	1	1
GCF_000007425.1	NC_004588.1	1	1
GCF_000007425.1	NC_004586.1	1	1
GCF_000007425.1	NC_009819.1	0	1
GCF_000007425.1	NC_028697.1	1	1
GCF_000007425.1	NC_009018.1	0	1
GCF_000007425.1	JX409895.1	0	1
GCF_000007425.1	JX409894.1	0	1
GCF_000007785.1	MN995824.1	1	1
GCF_000007785.1	NC_013644.1	1	1
GCF_000007785.1	NC_013643.1	1	1
GCF_000007785.1	GQ478085.1	1	1
GCF_000007785.1	GQ478083.1	1	1
GCF_000007785.1	NC_013646.1	1	1
GCF_000007785.1	GQ478082.1	1	1
GCF_000007785.1	NC_028671.2	1	1
GCF_000007805.1	NC_024365.1	0	1
GCF_000008445.1	NC_048641.1	0	1
GCF_000008445.1	NC_031055.1	0	1
GCF_000008445.1	NC_048633.1	0	1
GCF_000008445.1	DQ289556.1	1	1
GCF_000008445.1	DQ222851.1	1	1
GCF_000008445.1	NC_007458.1	0	1
GCF_000008445.1	NC_007814.1	1	1
GCF_000008445.1	NC_007734.1	1	1
GCF_000008445.1	NC_004821.1	0	1
GCF_000008445.1	NC_019502.1	0	1
GCF_000008865.2	NC_004914.3	1	1
GCF_000008865.2	NC_000924.1	1	1
GCF_000008865.2	NC_049942.1	1	1
GCF_000008865.2	NC_004913.3	1	1
GCF_000008865.2	NC_010237.1	1	1
GCF_000008865.2	NC_000902.1	1	1
GCF_000008865.2	NC_011356.1	1	1
GCF_000008865.2	NC_049943.1	1	1
GCF_000008865.2	NC_049923.1	1	1
GCF_000008865.2	NC_049924.1	1	1
GCF_000008865.2	NC_049922.1	1	1
GCF_000008865.2	NC_028656.1	1	1
GCF_000008865.2	NC_027984.1	1	1
GCF_000008865.2	NC_049945.1	1	1
GCF_000008865.2	NC_011357.1	1	1
GCF_000008865.2	NC_049944.1	1	1
GCF_000008865.2	NC_028449.1	1	1
GCF_000008865.2	NC_049941.1	1	1
GCF_000008865.2	NC_049954.1	1	1
GCF_000008865.2	AP004402.1	1	1
GCF_000008865.2	KJ909655.1	1	1
GCF_000008865.2	NC_049925.1	1	1
GCF_000008865.2	NC_049953.1	1	1
GCF_000008865.2	NC_049949.1	1	1
GCF_000008865.2	NC_004813.1	1	1
GCF_000008865.2	NC_042057.1	1	1
GCF_000008865.2	NC_049951.1	1	1
GCF_000008865.2	NC_041935.1	1	1
GCF_000008865.2	NC_019723.1	1	1
GCF_000008865.2	NC_001416.1	1	1
GCF_000008865.2	NC_019716.1	1	1
GCF_000008865.2	NC_049920.1	1	1
GCF_000008865.2	NC_049955.1	1	1
GCF_000008865.2	NC_049921.1	1	1
GCF_000008865.2	NC_049952.1	1	1
GCF_000008865.2	NC_019711.1	1	1
GCF_000008865.2	NC_049918.1	1	1
GCF_000008865.2	NC_049919.1	1	1
GCF_000008865.2	NC_028685.1	0	0
GCF_000008865.2	NC_029120.1	0	0
GCF_000008865.2	NC_049947.1	1	1
GCF_000008865.2	NC_028660.1	1	1
GCF_000008865.2	NC_049917.1	1	1
GCF_000008865.2	NC_009514.1	1	1
GCF_000008865.2	NC_019442.1	1	1
GCF_000008865.2	NC_049946.1	1	1
GCF_000008865.2	NC_025434.1	0	0
GCF_000008865.2	NC_008464.1	1	1
GCF_000008865.2	KF030445.1	1	1
GCF_000008865.2	NC_049948.1	1	1
GCF_000008865.2	NC_049391.1	1	1
GCF_000008865.2	NC_049343.1	1	1
GCF_000008865.2	NC_026014.1	1	1
GCF_000008865.2	NC_049341.1	1	1
GCF_000008865.2	NC_049344.1	1	1
GCF_000008865.2	NC_027339.1	0	0
GCF_000008865.2	NC_002166.1	1	1
GCF_000008865.2	NC_019705.1	1	1
GCF_000008865.2	NC_002730.1	1	1
GCF_000008865.2	NC_019708.1	1	1
GCF_000008865.2	NC_019501.1	1	1
GCF_000008865.2	NC_005344.1	0	0
GCF_000008865.2	AF547987.1	0	0
GCF_000008865.2	NC_019715.1	1	1
GCF_000008865.2	NC_019768.1	1	1
GCF_000008865.2	NC_049926.1	1	1
GCF_000008865.2	NC_019710.1	1	1
GCF_000008865.2	NC_019769.1	1	1
GCF_000008865.2	NC_016160.1	1	1
GCF_000008865.2	NC_019709.1	1	1
GCF_000008865.2	NC_014900.1	0	0
GCF_000008865.2	NC_011802.1	0	0
GCF_000008865.2	NC_002167.1	1	1
GCF_000008865.2	NC_019719.1	1	1
GCF_000008865.2	NC_004348.1	0	0
GCF_000008865.2	NC_019767.1	1	1
GCF_000008865.2	NC_003356.1	1	1
GCF_000008865.2	NC_019720.1	1	1
GCF_000008865.2	NC_027398.1	0	0
GCF_000008865.2	NC_019714.1	1	1
GCF_000008865.2	NC_030919.1	0	0
GCF_000008865.2	NC_019706.1	1	1
GCF_000008865.2	NC_005841.1	0	0
GCF_000008865.2	NC_002371.2	0	0
GCF_000008865.2	BK000583.1	0	0
GCF_000008865.2	AF527608.1	0	0
GCF_000008865.2	NC_031019.1	0	0
GCF_000008865.2	NC_042346.1	0	0
GCF_000008865.2	CP000711.1	1	1
GCF_000008865.2	NC_013059.1	0	0
GCF_000008865.2	NC_011976.1	0	0
GCF_000008865.2	NC_019445.1	1	1
GCF_000008865.2	NC_019704.1	1	1
GCF_000008865.2	NC_006949.1	0	0
GCF_000009045.1	NC_001884.1	1	1
GCF_000009425.1	NC_002667.1	0	1
GCF_000009425.1	NC_004746.1	0	1
GCF_000009425.1	NC_056724.1	0	1
GCF_000009425.1	NC_002796.1	0	1
GCF_000009425.1	NC_031016.1	0	1
GCF_000009425.1	NC_049811.1	0	1
GCF_000009425.1	NC_004066.1	0	1
GCF_000009425.1	DQ394806.1	0	1
GCF_000009425.1	NC_049810.1	0	1
GCF_000009425.1	NC_049812.1	0	1
GCF_000009425.1	NC_021861.1	0	1
GCF_000009425.1	DQ394808.1	0	1
GCF_000009425.1	NC_002669.1	0	1
GCF_000009425.1	DQ394807.1	0	1
GCF_000009425.1	NC_002747.1	0	1
GCF_000009425.1	NC_002703.1	0	1
GCF_000009425.1	NC_049809.1	0	1
GCF_000009425.1	NC_031017.1	0	1
GCF_000009425.1	NC_002671.1	0	1
GCF_000009425.1	NC_031040.1	0	1
GCF_000009425.1	NC_005822.1	1	1
GCF_000009425.1	NC_002666.1	0	1
GCF_000009425.1	DQ394809.1	0	1
GCF_000009425.1	NC_002668.1	0	1
GCF_000009425.1	NC_031064.1	0	1
GCF_000009425.1	NC_031013.1	0	1
GCF_000009425.1	NC_004302.1	1	1
GCF_000009425.1	NC_049381.1	0	1
GCF_000009425.1	NC_049401.1	0	1
GCF_000009425.1	NC_049475.1	0	1
GCF_000009425.1	DQ838728.1	0	1
GCF_000009425.1	NC_049420.1	1	1
GCF_000009425.1	NC_049421.1	1	1
GCF_000009425.1	NC_049416.1	1	1
GCF_000009425.1	NC_049377.1	0	1
GCF_000009425.1	NC_049418.1	1	1
GCF_000009425.1	NC_049422.1	1	1
GCF_000009425.1	NC_049419.1	1	1
GCF_000009425.1	NC_049423.1	1	1
GCF_000009425.1	NC_049363.1	0	1
GCF_000009425.1	NC_049402.1	0	1
GCF_000009485.1	NC_011216.1	1	1
GCF_000009485.1	NC_005882.1	1	1
GCF_000009485.1	NC_009237.1	0	1
GCF_000009645.1	NC_004740.1	1	1
GCF_000009645.1	NC_048657.1	1	1
GCF_000009645.1	NC_028775.1	1	1
GCF_000009645.1	NC_008617.1	1	1
GCF_000009645.1	NC_048713.1	1	1
GCF_000009645.1	NC_023499.1	1	1
GCF_000009645.1	NC_048634.1	1	1
GCF_000009645.1	NC_048635.1	1	1
GCF_000009645.1	NC_048681.1	1	1
GCF_000009645.1	NC_013195.1	1	1
GCF_000009645.1	NC_005356.1	1	1
GCF_000009645.1	NC_048710.1	1	1
GCF_000009645.1	NC_026016.1	1	1
GCF_000009645.1	NC_019921.1	1	1
GCF_000009645.1	NC_048658.1	1	1
GCF_000009645.1	NC_048711.1	1	1
GCF_000009645.1	NC_048636.1	1	1
GCF_000009645.1	NC_025460.1	1	1
GCF_000009645.1	NC_007045.1	1	1
GCF_000009645.1	NC_021773.2	1	1
GCF_000009645.1	NC_012784.1	1	1
GCF_000009645.1	NC_008689.1	1	1
GCF_000009645.1	NC_048644.1	1	1
GCF_000009645.1	NC_009761.3	1	1
GCF_000009645.1	NC_002321.1	1	1
GCF_000009645.1	NC_004617.1	1	1
GCF_000009645.1	NC_009763.3	1	1
GCF_000009645.1	NC_021326.1	1	1
GCF_000009645.1	NC_002486.1	1	1
GCF_000009645.1	NC_054980.1	1	1
GCF_000009645.1	NC_028859.1	1	1
GCF_000009645.1	NC_021323.1	1	1
GCF_000009645.1	NC_004616.1	1	1
GCF_000009645.1	AF424782.1	1	1
GCF_000009645.1	NC_055049.1	1	1
GCF_000009645.1	NC_054976.1	1	1
GCF_000009645.1	NC_054977.1	1	1
GCF_000009645.1	NC_021801.1	1	1
GCF_000009645.1	JX274647.1	1	1
GCF_000009645.1	NC_054974.1	1	1
GCF_000009645.1	NC_017968.1	1	1
GCF_000009645.1	NC_007060.1	1	1
GCF_000009645.1	NC_054978.1	1	1
GCF_000009645.1	NC_007052.1	1	1
GCF_000009645.1	NC_007047.1	1	1
GCF_000009645.1	NC_014460.1	1	1
GCF_000009645.1	NC_054983.1	1	1
GCF_000009645.1	NC_054982.1	1	1
GCF_000009645.1	NC_055047.1	1	1
GCF_000009645.1	NC_055039.1	1	1
GCF_000009645.1	NC_055045.1	1	1
GCF_000009645.1	NC_007062.1	1	1
GCF_000009645.1	NC_011614.1	1	1
GCF_000009645.1	NC_028917.1	1	1
GCF_000009645.1	NC_008799.1	1	1
GCF_000009645.1	NC_028862.1	1	1
GCF_000009645.1	NC_007058.1	1	1
GCF_000009645.1	NC_021332.1	1	1
GCF_000009645.1	NC_007053.1	1	1
GCF_000009645.1	NC_024391.1	1	1
GCF_000009645.1	KP209285.1	1	1
GCF_000009645.1	NC_008798.1	1	1
GCF_000009645.1	NC_055041.1	1	1
GCF_000009645.1	NC_002661.2	1	1
GCF_000009645.1	NC_029010.1	1	1
GCF_000009645.1	NC_007061.1	1	1
GCF_000009645.1	NC_028669.1	1	1
GCF_000009645.1	NC_054981.1	1	1
GCF_000009645.1	NC_055046.1	1	1
GCF_000009645.1	NC_007049.1	1	1
GCF_000009645.1	NC_007050.1	1	1
GCF_000009645.1	NC_023500.1	1	1
GCF_000009645.1	NC_007057.1	1	1
GCF_000009645.1	NC_003288.1	1	1
GCF_000009645.1	NC_028915.1	1	1
GCF_000009645.1	NC_011344.1	1	1
GCF_000009645.1	NC_022758.1	1	1
GCF_000009645.1	NC_055038.1	1	1
GCF_000009645.1	NC_055042.1	1	1
GCF_000009645.1	NC_007048.1	1	1
GCF_000009645.1	NC_054973.1	1	1
GCF_000009645.1	NC_055048.1	1	1
GCF_000010325.1	AB746912.1	1	1
GCF_000012045.1	NC_007053.1	1	1
GCF_000012045.1	NC_055039.1	1	1
GCF_000012045.1	NC_055046.1	1	1
GCF_000012045.1	NC_007052.1	1	1
GCF_000012045.1	NC_002661.2	1	1
GCF_000012045.1	NC_019513.1	1	1
GCF_000012045.1	NC_055038.1	1	1
GCF_000012045.1	NC_055043.1	1	1
GCF_000012045.1	NC_004616.1	1	1
GCF_000012045.1	AF424782.1	1	1
GCF_000012045.1	NC_055044.1	1	1
GCF_000012045.1	NC_055048.1	1	1
GCF_000012045.1	NC_055041.1	1	1
GCF_000012045.1	NC_055049.1	1	1
GCF_000012045.1	NC_055045.1	1	1
GCF_000012045.1	NC_055042.1	1	1
GCF_000012045.1	NC_021323.1	1	1
GCF_000012045.1	NC_011344.1	1	1
GCF_000012045.1	NC_011612.1	1	1
GCF_000012045.1	NC_022758.1	1	1
GCF_000012045.1	NC_028862.1	1	1
GCF_000012045.1	NC_007054.1	1	1
GCF_000012045.1	NC_055047.1	1	1
GCF_000012045.1	NC_020199.1	1	1
GCF_000012045.1	NC_055040.1	1	1
GCF_000012045.1	NC_007045.1	1	1
GCF_000012045.1	NC_005356.1	1	1
GCF_000012045.1	NC_013195.1	1	1
GCF_000012045.1	NC_004615.1	1	1
GCF_000012045.1	AF424781.1	1	1
GCF_000012045.1	NC_028915.1	1	1
