species	Count	Percent
Geobacillus stearothermophilus	1	0.0002
Rhodococcus globerulus	1	0.0002
Sinomonas atrocyanea	1	0.0002
Candidatus Azobacteroides pseudotrichonymphae	1	0.0002
Natrinema sp. J7-1	1	0.0002
Parabacteroides distasonis	1	0.0002
Anoxybacillus caldiproteolyticus	1	0.0002
Pseudomonas agarici	1	0.0002
Xanthomonas sp.	1	0.0002
Idiomarinaceae bacterium N2-2	1	0.0002
Enterobacter cancerogenus	1	0.0002
Methanothermobacter wolfeii	1	0.0002
Kitasatospora aureofaciens	1	0.0002
Raoultella sp.	1	0.0002
Aurantimonas sp. C5-1	1	0.0002
Stenotrophomonas sp.	1	0.0002
Salinivibrio costicola	1	0.0002
Halogeometricum sp. CG-9	1	0.0002
Weissella sp.	1	0.0002
Planktothrix agardhii	1	0.0002
Haloferax lucentense	1	0.0002
Gordonia alkanivorans	1	0.0002
Klebsiella sp. 390	1	0.0002
Staphylococcus haemolyticus	1	0.0002
Alteromonas confluentis	1	0.0002
Nanohaloarchaea archaeon AB578-D14	1	0.0002
Citrobacter amalonaticus	1	0.0002
Chlamydia pneumoniae	1	0.0002
Rhodococcus rhodochrous	1	0.0002
Acinetobacter soli	1	0.0002
Pseudomonas grimontii	1	0.0002
Candidatus Hamiltonella defensa	1	0.0002
Alkalihalobacillus bogoriensis	1	0.0002
bacterium	1	0.0002
Mycobacterium avium	1	0.0002
Serratia rubidaea	1	0.0002
Sinorhizobium sp. LM21	1	0.0002
Pyrococcus abyssi	1	0.0002
Aliivibrio fischeri	1	0.0002
Rhodovulum sp. P5	1	0.0002
Pseudoalteromonas sp. H105	1	0.0002
Edwardsiella anguillarum	1	0.0002
Synechococcus sp. WH 6501	1	0.0002
Streptococcus salivarius	1	0.0002
Pseudomonas sp. 1-1-1b	1	0.0002
Geobacillus sp. 6k51	1	0.0002
Achromobacter spanius	1	0.0002
Pseudomonas chlororaphis	1	0.0002
Erwinia tracheiphila	1	0.0002
Sutcliffiella halmapala	1	0.0002
Celeribacter marinus	1	0.0002
Spiroplasma citri	1	0.0002
Idiomarinaceae bacterium M2-2	1	0.0002
Nostoc sp. PCC 7120 = FACHB-418	1	0.0002
Erwinia sp.	1	0.0002
Nitrososphaera viennensis	1	0.0002
Synechococcus sp. CB0202	1	0.0002
Tetrasphaera jenkinsii	1	0.0002
Halorubrum sp. PV6	1	0.0002
Evansella clarkii	1	0.0002
Acidianus sp. Acii25	1	0.0002
Salisaeta sp. SP9-1	1	0.0002
Marinomonas mediterranea	1	0.0002
Vibrio sp. 12A10	1	0.0002
Delftia sp. 670	1	0.0002
Synechococcus sp. CBW1002	1	0.0002
Metallosphaera sp.	1	0.0002
Thalassotalea loyana	1	0.0002
Myxococcus xanthus	1	0.0002
Mycoplasma arthritidis	1	0.0002
Halorubrum sp. SS7-4	1	0.0002
Vibrio pelagius	1	0.0002
Thermoproteus tenax	1	0.0002
Spiroplasma melliferum	1	0.0002
Pseudoalteromonas sp. Bq0	1	0.0002
Actinoplanes sp. SN223/29	1	0.0002
Halomonas aquamarina	1	0.0002
Gordonia neofelifaecis	1	0.0002
Serratia sp.	1	0.0002
Rhodothermus marinus	1	0.0002
Sulfolobus sp. G4ST-T-11	1	0.0002
Candidatus Liberibacter asiaticus	1	0.0002
[Brevibacterium] flavum	1	0.0002
Lactobacillus jensenii	1	0.0002
Gordonia sputi	1	0.0002
Staphylococcus saprophyticus	1	0.0002
Aeromonas sp.	1	0.0002
Enterobacter sp.	1	0.0002
Vibrio sp. YD21	1	0.0002
Psychrobacter sp. OW20	1	0.0002
Vibrio anguillarum	1	0.0002
Caulobacter sp.	1	0.0002
Pseudoalteromonas atlantica	1	0.0002
Sulfolobus sp. G4T-1	1	0.0002
Providencia sp.	1	0.0002
Sulfolobus tengchongensis	1	0.0002
Staphylococcus pasteuri	1	0.0002
Paracoccus marcusii	1	0.0002
Glaesserella parasuis	1	0.0002
Haloarcula vallismortis	1	0.0002
Acidovorax citrulli	1	0.0002
Pseudoalteromonas sp. YD6	1	0.0002
Parageobacillus thermoglucosidasius	1	0.0002
Burkholderia glumae	1	0.0002
Pseudoalteromonas phenolica	1	0.0002
Paenibacillus glucanolyticus	1	0.0002
Bacillus velezensis	1	0.0002
Spiroplasma kunkelii	1	0.0002
Gordonia westfalica	1	0.0002
Chlamydia abortus	1	0.0002
Delftia acidovorans	1	0.0002
Synechococcus sp. CB0204	1	0.0002
Burkholderia gladioli	1	0.0002
Xanthomonas fragariae	1	0.0002
Roseobacter sp. SIO67	1	0.0002
Aeromonas sp. IS4	1	0.0002
Halorubrum saccharovorum	1	0.0002
Bacteroides thetaiotaomicron	1	0.0002
Microbacterium nematophilum	1	0.0002
Streptococcus dysgalactiae	1	0.0002
Listeria sp.	1	0.0002
Alteromonas mediterranea	1	0.0002
Xanthomonas euvesicatoria	1	0.0002
Streptococcus sp. 'group C'	1	0.0002
Saccharomonospora sp.	1	0.0002
Microbacterium oxydans	1	0.0002
Rhodococcus opacus	1	0.0002
Alkalihalobacillus alcalophilus	1	0.0002
Lelliottia sp. GL2	1	0.0002
Agrobacterium fabacearum	1	0.0002
Clostridium botulinum	1	0.0002
Synechococcus sp. CB0208	1	0.0002
Halorubrum sp. SS5-4	1	0.0002
Geobacillus sp. E263	1	0.0002
Streptococcus mitis	1	0.0002
Tenacibaculum maritimum	1	0.0002
Pyrobaculum arsenaticum	1	0.0002
Parabacteroides merdae	1	0.0002
Psychrobacter sp. MV2	1	0.0002
Nitratiruptor sp. SB155-2	1	0.0002
Vibrio owensii	1	0.0002
Achromobacter animicus	1	0.0002
Erysipelothrix rhusiopathiae	1	0.0002
Rhodoferax lacus	1	0.0002
Vibrio tasmaniensis	1	0.0002
Riemerella anatipestifer	1	0.0002
Azospirillum brasilense	1	0.0002
Brevibacterium iodinum	1	0.0002
Sulfolobus sp. G4ST-2	1	0.0002
Iodobacter sp. CdM7	1	0.0002
Paracoccus sp.	1	0.0002
Enterobacter asburiae	1	0.0002
Dickeya sp.	1	0.0002
Bacteroides xylanisolvens	1	0.0002
Shigella dysenteriae	1	0.0002
Eggerthella lenta	1	0.0002
Mesorhizobium loti	1	0.0002
Lactobacillus helveticus	1	0.0002
Synechococcus sp. WH 8012	1	0.0002
Rhizobium gallicum	1	0.0002
Haloarcula sinaiiensis	1	0.0002
Mycobacterium tuberculosis	1	0.0002
Streptococcus equi	1	0.0002
Bacillus mycoides	1	0.0002
Weissella cibaria	1	0.0002
Tenacibaculum sp.	1	0.0002
Photobacterium damselae	1	0.0002
Acinetobacter pittii	1	0.0002
Curvibacter sp.	1	0.0002
Bacteroides intestinalis	1	0.0002
Erwinia tasmaniensis	1	0.0002
Pseudoalteromonas sp. ER72M2	1	0.0002
Sulfolobus sp. A20	1	0.0002
Ralstonia pickettii	1	0.0002
Marinomonas sp.	1	0.0002
alpha proteobacterium JL001	1	0.0002
Clostridium tyrobutyricum	1	0.0002
Nitrosopumilus sp.	1	0.0002
Acidithiobacillus caldus	1	0.0002
Microcystis aeruginosa	1	0.0002
Salinivibrio sp.	1	0.0002
Natrialba magadii	1	0.0002
Methanothermobacter thermautotrophicus	1	0.0002
Dickeya fangzhongdai	1	0.0002
Gluconobacter cerinus	1	0.0002
Candidatus Puniceispirillum marinum	1	0.0002
Cronobacter sp.	1	0.0002
Proteus penneri	1	0.0002
Brevibacterium aurantiacum	1	0.0002
Delftia tsuruhatensis	1	0.0002
Streptococcus oralis	1	0.0002
