virus	host	score	species_tag	genus_tag
NC_054932.1	GCF_000006945.2	0.0009823799847751	0	0
NC_054928.1	GCF_000006945.2	0.0009488805597201	0	0
NC_054910.1	GCF_000006945.2	0.0009466397072982	0	0
NC_054921.1	GCF_000006945.2	0.0009457409186323	0	0
NC_031095.1	GCF_000006945.2	0.0009386547600706	0	0
NC_055718.1	GCF_000006945.2	0.000925667363456	0	0
NC_014662.1	GCF_000006945.2	0.0009169464177842	0	0
NC_053007.1	GCF_000006945.2	0.000859529147982	1	1
NC_053003.1	GCF_000006945.2	0.0008587997691863	1	1
NC_053002.1	GCF_000006945.2	0.0008573156682027	0	0
NC_048655.1	GCF_000006945.2	0.0008562566627747	1	1
NC_053004.1	GCF_000006945.2	0.000855229177934	1	1
NC_021783.1	GCF_000006945.2	0.0008539879164275	1	1
NC_048683.1	GCF_000006945.2	0.0008473951268525	1	1
NC_053000.1	GCF_000006945.2	0.0008450883463041	1	1
NC_053001.1	GCF_000006945.2	0.0008407356948228	1	1
NC_028750.1	GCF_000006945.2	0.0008245780067128	0	0
NC_041980.1	GCF_000006945.2	0.000813394610213	0	0
NC_023561.1	GCF_000006945.2	0.0008125498049354	0	0
NC_041981.1	GCF_000006945.2	0.0007997450796626	0	0
NC_048645.1	GCF_000006945.2	0.0007914197867425	0	0
NC_014467.1	GCF_000006945.2	0.0007839450641446	0	0
HM134276.1	GCF_000006945.2	0.0007839450641446	0	0
NC_019398.1	GCF_000006945.2	0.0007777638852255	0	0
NC_048646.1	GCF_000006945.2	0.000775453654238	0	0
NC_047885.1	GCF_000006945.2	0.0007112911409195	0	0
NC_028773.1	GCF_000006945.2	0.0007065678442998	0	0
NC_055712.1	GCF_000006945.2	0.000660228848821	0	0
NC_055726.1	GCF_000006945.2	0.0006524204099433	0	0
NC_014036.1	GCF_000006945.2	0.0006494872044761	0	0
NC_020080.1	GCF_000006945.2	0.0005865665976733	0	0
NC_013599.1	GCF_000007245.1	0.2392597262365708	1	1
NC_025430.1	GCF_000007245.1	0.0059501820500106	0	0
NC_041926.1	GCF_000007245.1	0.0057548935551841	0	0
NC_005357.1	GCF_000007245.1	0.0056481547549008	0	0
NC_027995.1	GCF_000007245.1	0.0056450026400422	0	0
AY526909.1	GCF_000007245.1	0.0056289469487311	0	0
AY526908.1	GCF_000007245.1	0.005625648454164	0	0
NC_004585.1	GCF_000007425.1	4.270123198285937	1	1
NC_004589.1	GCF_000007425.1	4.018208626980557	1	1
NC_004584.1	GCF_000007425.1	3.493697202691082	1	1
NC_004587.1	GCF_000007425.1	2.252263374485597	1	1
NC_003157.5	GCF_000007425.1	2.183598256391222	1	1
NC_004586.1	GCF_000007425.1	2.18087103053546	1	1
NC_009819.1	GCF_000007425.1	2.0128918991588347	0	1
NC_028700.1	GCF_000007425.1	1.871345536128081	1	1
NC_004588.1	GCF_000007425.1	1.7559964403496835	1	1
NC_009018.1	GCF_000007425.1	0.7454268313953489	0	1
JX409895.1	GCF_000007425.1	0.4751131221530166	0	1
NC_028697.1	GCF_000007425.1	0.43725	1	1
JX409894.1	GCF_000007425.1	0.2777799423907826	0	1
NC_007019.1	GCF_000007425.1	0.0179376656869525	0	1
NC_000871.1	GCF_000007425.1	0.0134222488627241	0	1
AF115102.1	GCF_000007425.1	0.0134222488627241	0	1
NC_000872.1	GCF_000007425.1	0.0127438533100959	0	1
AF115103.1	GCF_000007425.1	0.0127438533100959	0	1
NC_022776.1	GCF_000007425.1	0.012375846923869	0	1
NC_013598.1	GCF_000007425.1	0.0097795862068965	0	1
NC_009760.1	GCF_000007425.1	0.0005877922155032	0	0
MN995824.1	GCF_000007785.1	0.7011677686962541	1	1
NC_013644.1	GCF_000007785.1	0.3398811707523246	1	1
NC_025453.1	GCF_000007785.1	0.0148045047907461	1	1
NC_009813.1	GCF_000007785.1	0.0049116343519056	0	0
NC_017732.1	GCF_000007785.1	0.0049043015899032	1	1
MK693030.1	GCF_000007785.1	0.0012877487973435	1	1
NC_047853.1	GCF_000007785.1	0.001285288586069	1	1
NC_009904.1	GCF_000007785.1	0.001285288586069	1	1
MK268686.1	GCF_000007785.1	0.0009351153602263	1	1
NC_041846.1	GCF_000007805.1	0.0013640398949291	0	0
JF937091.2	GCF_000007805.1	0.0013640398949291	0	0
NC_011056.1	GCF_000007805.1	0.0013493938874305	0	0
NC_031032.1	GCF_000008445.1	0.0120762269736842	0	1
NC_049964.1	GCF_000008445.1	0.0112274371666474	0	1
NC_042057.1	GCF_000008865.2	7.4519770893418755	1	1
NC_004914.3	GCF_000008865.2	7.121859745478902	1	1
NC_049951.1	GCF_000008865.2	6.902642556172414	1	1
NC_049954.1	GCF_000008865.2	6.862088494336261	1	1
NC_049949.1	GCF_000008865.2	6.780051760522652	1	1
NC_010237.1	GCF_000008865.2	6.774262767726161	1	1
NC_000924.1	GCF_000008865.2	6.7666063654937565	1	1
NC_000902.1	GCF_000008865.2	6.687664335925963	1	1
NC_004913.3	GCF_000008865.2	6.6071767200080185	1	1
NC_019716.1	GCF_000008865.2	6.426763109413614	1	1
NC_019711.1	GCF_000008865.2	6.288916575875487	1	1
NC_019723.1	GCF_000008865.2	6.27776824718624	1	1
NC_001416.1	GCF_000008865.2	6.267199348480475	1	1
NC_049953.1	GCF_000008865.2	6.108537768931051	1	1
NC_028656.1	GCF_000008865.2	5.614527758623304	1	1
NC_049924.1	GCF_000008865.2	5.252454138674885	1	1
NC_028449.1	GCF_000008865.2	5.203239813745695	1	1
NC_049922.1	GCF_000008865.2	5.07894119130241	1	1
NC_049923.1	GCF_000008865.2	4.933685307697781	1	1
NC_027984.1	GCF_000008865.2	4.811363038993013	1	1
KJ909655.1	GCF_000008865.2	4.712530646253496	1	1
NC_049942.1	GCF_000008865.2	4.711589254169726	1	1
AP004402.1	GCF_000008865.2	4.662741360964948	1	1
NC_049945.1	GCF_000008865.2	4.468127056647479	1	1
NC_049943.1	GCF_000008865.2	4.398000495213807	1	1
NC_011356.1	GCF_000008865.2	4.033682106164384	1	1
NC_049925.1	GCF_000008865.2	3.8121331237414746	1	1
NC_029120.1	GCF_000008865.2	3.683133070718686	0	0
NC_049952.1	GCF_000008865.2	3.532588760330579	1	1
NC_049918.1	GCF_000008865.2	3.400471073847146	1	1
NC_049946.1	GCF_000008865.2	3.3193537731858127	1	1
NC_028685.1	GCF_000008865.2	3.230990348602249	0	0
NC_028660.1	GCF_000008865.2	3.200533065945769	1	1
NC_049920.1	GCF_000008865.2	3.179984701649792	1	1
NC_009514.1	GCF_000008865.2	3.151400613768316	1	1
NC_049921.1	GCF_000008865.2	2.8398639483220416	1	1
NC_041935.1	GCF_000008865.2	2.808758176597272	1	1
NC_049919.1	GCF_000008865.2	2.5545828908128128	1	1
NC_025434.1	GCF_000008865.2	2.4053129485318743	0	0
NC_049917.1	GCF_000008865.2	2.162018859545542	1	1
NC_019442.1	GCF_000008865.2	1.8967321720668175	1	1
NC_008464.1	GCF_000008865.2	1.7973851123875295	1	1
NC_019708.1	GCF_000008865.2	0.3389204016491555	1	1
NC_002166.1	GCF_000008865.2	0.331613244582955	1	1
NC_019768.1	GCF_000008865.2	0.28938141458474	1	1
NC_019715.1	GCF_000008865.2	0.2219921736823488	1	1
NC_019719.1	GCF_000008865.2	0.2205622892987864	1	1
NC_049926.1	GCF_000008865.2	0.2001529256962119	1	1
NC_016160.1	GCF_000008865.2	0.1959556476910068	1	1
NC_054647.1	GCF_000008865.2	0.0070557312584036	0	0
NC_054650.1	GCF_000008865.2	0.005253055487053	0	0
NC_031924.1	GCF_000008865.2	0.0050207047346732	0	0
NC_054642.1	GCF_000008865.2	0.0049627715176216	0	0
NC_054651.1	GCF_000008865.2	0.0047313742044699	1	1
NC_054644.1	GCF_000008865.2	0.0046434704189318	0	0
NC_054637.1	GCF_000008865.2	0.0045330343988213	1	1
NC_054641.1	GCF_000008865.2	0.0044127995391705	0	0
NC_054645.1	GCF_000008865.2	0.0040625238684768	0	0
NC_054640.1	GCF_000008865.2	0.003986585896241	0	0
NC_010495.1	GCF_000008865.2	0.0029056056469334	0	0
NC_031918.1	GCF_000008865.2	0.0023290150412421	0	0
NC_004456.1	GCF_000008865.2	0.0010949886568822	0	0
NC_042044.1	GCF_000008865.2	0.0007362370153712	0	0
NC_026607.2	GCF_000008865.2	0.0007335160773915	0	0
NC_055716.1	GCF_000008865.2	0.0006079679090199	0	0
NC_019487.1	GCF_000009045.1	0.0013632999041573	1	1
NC_028749.1	GCF_000009045.1	0.000524323229314	0	0
NC_031039.1	GCF_000009045.1	0.000415846591407	1	1
NC_043027.1	GCF_000009045.1	0.0004139421166786	1	1
NC_022915.1	GCF_000009225.2	0.001957024783178	0	0
NC_018283.1	GCF_000009225.2	0.0009093655386205	0	0
NC_047770.1	GCF_000009225.2	0.0002349595829467	0	0
NC_052654.1	GCF_000009225.2	0.0002320812811941	0	0
NC_023503.1	GCF_000009425.1	0.0272443672131147	0	0
NC_049426.1	GCF_000009425.1	0.0188704827867182	0	1
NC_049425.1	GCF_000009425.1	0.0184927120669056	0	1
NC_049404.1	GCF_000009425.1	0.0180179266636487	0	1
NC_049374.1	GCF_000009425.1	0.0157317136418362	0	1
NC_055011.1	GCF_000009425.1	0.0153632597054886	0	1
NC_049413.1	GCF_000009425.1	0.0153519927659864	0	1
NC_049376.1	GCF_000009425.1	0.0141627077448597	0	1
NC_049407.1	GCF_000009425.1	0.0139641073512252	0	1
NC_049408.1	GCF_000009425.1	0.0128076146256529	0	1
NC_012663.1	GCF_000009425.1	0.0071230319272896	0	1
NC_049805.1	GCF_000009425.1	0.0065999632309929	1	1
NC_024203.1	GCF_000009425.1	0.0064953712182086	0	1
NC_008370.1	GCF_000009425.1	0.0033889734513274	0	1
NC_015254.1	GCF_000009425.1	0.0033238768726817	0	0
NC_048775.1	GCF_000009425.1	0.000553336994908	0	0
NC_048776.1	GCF_000009425.1	0.0005500617422541	0	0
KC595511.2	GCF_000009425.1	0.0005499356160374	0	0
NC_048774.1	GCF_000009425.1	0.0005316051878883	0	0
NC_011216.1	GCF_000009485.1	1.0101978939816658	1	1
NC_009237.1	GCF_000009485.1	0.7843818875180258	0	1
NC_005882.1	GCF_000009485.1	0.6852182431696964	1	1
NC_054955.1	GCF_000009485.1	0.0090478461173118	0	0
NC_052975.1	GCF_000009485.1	0.00086666895028	0	0
NC_005342.2	GCF_000009485.1	0.0008246106113609	0	1
NC_004333.2	GCF_000009485.1	0.0008207992206769	0	1
NC_007045.1	GCF_000009645.1	0.3205421418957893	1	1
NC_019914.1	GCF_000009645.1	0.0322487245139876	0	1
NC_047794.1	GCF_000009765.2	0.0067103294367693	0	1
NC_047795.1	GCF_000009765.2	0.0021845457888929	0	1
AB746912.1	GCF_000010325.1	0.4713797464947926	1	1
NC_027374.1	GCF_000010325.1	0.0003342829588375	0	0
NC_027366.1	GCF_000010325.1	0.0002945902058404	0	0
NC_020854.1	GCF_000011605.1	0.001711825471002	0	0
NC_017978.1	GCF_000013285.1	0.3448068624475587	1	1
NC_021325.1	GCF_000013285.1	0.2961133098087348	1	1
NC_003524.1	GCF_000013285.1	0.1453730378726833	1	1
NC_008265.1	GCF_000013285.1	0.0681987073401239	1	1
NC_014457.1	GCF_000013285.1	0.0017280511495126	0	1
NC_009763.3	GCF_000013425.1	1.8048090894282456	1	1
NC_002486.1	GCF_000013425.1	1.7155429660794108	1	1
NC_012784.1	GCF_000013425.1	1.5509928789445298	1	1
NC_048644.1	GCF_000013425.1	1.5093553540367015	1	1
NC_055039.1	GCF_000013425.1	1.5001015363128491	1	1
NC_002321.1	GCF_000013425.1	1.4870989299775368	1	1
NC_008689.1	GCF_000013425.1	1.472751015449094	1	1
NC_055046.1	GCF_000013425.1	1.4270858146487295	1	1
NC_004617.1	GCF_000013425.1	1.41605730068817	1	1
NC_002661.2	GCF_000013425.1	1.3843699352615155	1	1
NC_019513.1	GCF_000013425.1	1.3746239868721462	1	1
NC_009761.3	GCF_000013425.1	1.3655408922144348	1	1
NC_055038.1	GCF_000013425.1	1.2919188796524133	1	1
NC_055044.1	GCF_000013425.1	1.2572362898601863	1	1
NC_011612.1	GCF_000013425.1	1.239572902699365	1	1
NC_021323.1	GCF_000013425.1	1.236413461335908	1	1
NC_007053.1	GCF_000013425.1	1.2354563023552618	1	1
NC_055048.1	GCF_000013425.1	1.232106371681416	1	1
NC_007052.1	GCF_000013425.1	1.2240191077386016	1	1
NC_055042.1	GCF_000013425.1	1.214792512340981	1	1
NC_048658.1	GCF_000013425.1	1.209531068240714	1	1
NC_055043.1	GCF_000013425.1	1.201975675340768	1	1
NC_055041.1	GCF_000013425.1	1.1689154430159834	1	1
NC_028862.1	GCF_000013425.1	1.162950811360861	1	1
NC_004616.1	GCF_000013425.1	1.1321592172559485	1	1
AF424782.1	GCF_000013425.1	1.1321592172559485	1	1
NC_055045.1	GCF_000013425.1	1.1307364613359658	1	1
NC_055049.1	GCF_000013425.1	1.127000522566362	1	1
NC_007054.1	GCF_000013425.1	1.112895465305849	1	1
NC_011344.1	GCF_000013425.1	1.106187353723966	1	1
NC_022758.1	GCF_000013425.1	1.086969355136193	1	1
NC_055047.1	GCF_000013425.1	0.9971525452162516	1	1
NC_021773.2	GCF_000013425.1	0.9824364558884442	1	1
NC_020199.1	GCF_000013425.1	0.7915309303309914	1	1
NC_055040.1	GCF_000013425.1	0.7215304399698502	1	1
NC_048711.1	GCF_000013425.1	0.6181431363467952	1	1
NC_047948.1	GCF_000013425.1	0.0004496680940031	1	1
NC_028954.1	GCF_000014045.1	0.0015861106335782	0	0
NC_042049.1	GCF_000014045.1	0.0015589645685702	0	0
NC_027990.1	GCF_000014465.1	0.0526425608263674	1	1
NC_047983.1	GCF_000014465.1	0.0161406965174129	1	1
NC_042065.1	GCF_000017765.1	0.0038616769756167	0	0
NC_005859.1	GCF_000017765.1	0.0024953036550308	1	1
NC_048112.1	GCF_000017765.1	0.0018053296703296	1	1
NC_042094.1	GCF_000017765.1	0.0005404196785739	0	0
NC_028820.1	GCF_000017765.1	0.0005089229554413	0	0
NC_048170.1	GCF_000017765.1	0.0004913707560248	1	1
NC_028826.1	GCF_000019245.4	0.001275273867266	0	0
NC_011551.1	GCF_000021705.1	0.8734446406802618	1	1
NC_000935.1	GCF_000021705.1	0.612897930128135	0	0
NC_016165.1	GCF_000021865.1	1.0585821215283966	1	1
NC_020489.1	GCF_000021865.1	0.0062484422929684	1	1
NC_054954.1	GCF_000025625.1	1.4906994065347856	1	1
NC_004084.1	GCF_000025625.1	1.490035046668262	1	1
NC_052650.1	GCF_000025625.1	0.2416985039261606	0	0
NC_054953.1	GCF_000025625.1	0.1292592256777586	0	0
NC_019927.1	GCF_000027065.2	0.2280417046480855	0	1
NC_019527.1	GCF_000027065.2	0.0061120835342472	0	0
NC_048088.1	GCF_000027065.2	0.0043427903309471	0	1
NC_028808.2	GCF_000027065.2	0.0009334538201293	0	0
NC_049499.1	GCF_000027065.2	0.0008830408589239	0	0
NC_020204.1	GCF_000027065.2	0.0008788282050231	0	0
NC_049440.1	GCF_000027065.2	0.0008313703806577	0	0
NC_042047.1	GCF_000027065.2	0.0008306889207295	0	0
NC_049443.1	GCF_000027065.2	0.0008287686175521	0	0
NC_049504.1	GCF_000027065.2	0.0008184547292914	0	0
NC_027119.1	GCF_000027065.2	0.000817186757927	0	0
NC_049439.1	GCF_000027065.2	0.0008165024424284	0	0
NC_049500.1	GCF_000027065.2	0.0008160402684563	0	0
NC_019530.1	GCF_000027065.2	0.0008157003517444	0	0
NC_031128.1	GCF_000027065.2	0.000814172987266	0	0
NC_029042.1	GCF_000027065.2	0.0008135593911995	0	0
NC_049427.1	GCF_000027065.2	0.0008113091988729	0	0
NC_049497.1	GCF_000027065.2	0.0008024019950124	0	0
NC_015296.1	GCF_000027065.2	0.0007914206582155	0	0
NC_049502.1	GCF_000027065.2	0.0007679216037917	0	0
NC_049505.1	GCF_000027065.2	0.0007661968085106	0	0
NC_049503.1	GCF_000027065.2	0.0007646817303461	0	0
NC_049437.1	GCF_000027065.2	0.0007636492519727	0	0
NC_049496.1	GCF_000027065.2	0.000761509704705	0	0
NC_022768.1	GCF_000027065.2	0.0007608168014427	0	0
NC_022772.1	GCF_000027065.2	0.0007528503626757	0	0
NC_016570.1	GCF_000027065.2	0.0007482271270914	0	0
NC_025446.1	GCF_000027065.2	0.0007482081013044	0	0
NC_049382.1	GCF_000027065.2	0.0007465139377794	0	0
NC_031045.1	GCF_000027065.2	0.0007456154065439	0	0
NC_049495.1	GCF_000027065.2	0.0007445211813748	0	0
NC_049506.1	GCF_000027065.2	0.0007438483220628	0	0
NC_049428.1	GCF_000027065.2	0.0007287780956272	0	0
NC_049396.1	GCF_000027065.2	0.0004636571829996	0	0
NC_028991.1	GCF_000063585.1	0.1260739731486313	0	1
NC_029022.1	GCF_000063585.1	0.0755049429576714	0	1
NC_031122.1	GCF_000091305.1	0.0044738587549244	0	0
NC_016651.1	GCF_000091305.1	0.0034689390329362	0	0
NC_016655.1	GCF_000091305.1	0.0029449853920766	0	0
NC_031076.1	GCF_000091305.1	0.002716024270442	0	0
NC_031108.1	GCF_000091305.1	0.0026085206861755	0	0
NC_016569.1	GCF_000091305.1	0.0020264746423927	0	0
NC_048072.1	GCF_000091305.1	0.0016207125844076	0	1
NC_029005.2	GCF_000091305.1	0.0013640576783405	0	1
NC_004820.1	GCF_000160895.1	0.5102289333007575	1	1
NC_049963.1	GCF_000160895.1	0.010929865771812	0	1
NC_049959.1	GCF_000160895.1	0.0105478866968603	1	1
NC_049966.1	GCF_000160895.1	0.0104966270118964	0	1
NC_055914.1	GCF_000160895.1	0.0103503932520232	0	1
NC_049968.1	GCF_000160895.1	0.0096521758925522	1	1
NC_049969.1	GCF_000160895.1	0.0094696594081518	1	1
NC_027118.1	GCF_000160895.1	0.0009740753893764	0	0
NC_048698.1	GCF_000160915.1	0.0014992431850789	0	1
NC_028926.1	GCF_000161615.1	0.0033001265	0	0
NC_028782.1	GCF_000161615.1	0.0031881311213272	0	0
