host	virus	score	rank	species_tag	genus_tag
GCF_000005845.2	NC_005859.1	0.0007228215195071	5	1	1
GCF_000005845.2	NC_050154.1	0.0006845182593051	36	1	1
GCF_000005845.2	NC_031085.1	0.0006667174766254	9	0	0
GCF_000005845.2	NC_054903.1	0.0003603315036573	9	1	1
GCF_000005845.2	NC_054913.1	0.0003566326876326	8	1	1
GCF_000006765.1	NC_055793.1	0.0107966522366522	14	1	1
GCF_000006765.1	NC_003278.1	0.0096126003372681	14	1	1
GCF_000006765.1	NC_030929.1	0.0088166908000734	3	1	1
GCF_000006765.1	NC_028657.1	0.0062789326811011	5	1	1
GCF_000006765.1	JX403939.1	0.0049085858933597	2	1	1
GCF_000006765.1	NC_031091.1	0.0028282921644291	6	1	1
GCF_000006765.1	NC_055026.1	0.0024822083195015	5	0	0
GCF_000006765.1	NC_007805.1	0.0021608816551442	6	1	1
GCF_000006765.1	NC_019708.1	0.0020188767123287	46	0	0
GCF_000006765.1	NC_019769.1	0.001947943486295	44	0	0
GCF_000006765.1	NC_019705.1	0.0019298374571067	46	0	0
GCF_000006765.1	NC_019714.1	0.0019166342950853	44	0	0
GCF_000006765.1	NC_019767.1	0.0018901673515128	44	0	0
GCF_000006765.1	NC_019715.1	0.0018899027237354	48	0	0
GCF_000006765.1	NC_002167.1	0.0018825775193798	48	0	0
GCF_000006765.1	NC_019710.1	0.0018643986735445	51	0	0
GCF_000006765.1	NC_019768.1	0.0018303190411883	49	0	0
GCF_000006765.1	NC_019719.1	0.0018276745810055	42	0	0
GCF_000006765.1	NC_019709.1	0.0018259597757836	47	0	0
GCF_000006765.1	NC_024123.1	0.0013554536521454	4	1	1
GCF_000006765.1	NC_049947.1	0.0012011934993469	62	0	0
GCF_000006765.1	NC_013691.1	0.0011748562769522	3	1	1
GCF_000006765.1	NC_019934.1	0.0010151061211934	53	0	0
GCF_000006765.1	JX507079.1	0.0009079637147718	11	0	0
GCF_000006865.1	NC_002667.1	3.03826592723622	1	1	1
GCF_000006865.1	NC_002668.1	2.119638776692198	1	1	1
GCF_000006865.1	NC_002666.1	2.088980118183353	1	1	1
GCF_000006865.1	NC_002671.1	1.223176757362145	1	1	1
GCF_000006865.1	NC_004746.1	1.1415093097606297	1	1	1
GCF_000006865.1	NC_056724.1	0.8853393935454841	1	1	1
GCF_000006865.1	NC_002796.1	0.8853393935454841	1	1	1
GCF_000006865.1	NC_002669.1	0.7560874506919837	1	1	1
GCF_000006865.1	NC_002703.1	0.653099513390878	1	1	1
GCF_000006865.1	NC_002747.1	0.4590079565667561	1	1	1
GCF_000006865.1	DQ394808.1	0.3903859274283174	2	1	1
GCF_000006865.1	NC_004066.1	0.3599069819011902	2	1	1
GCF_000006865.1	DQ394806.1	0.3566792469903853	1	1	1
GCF_000006865.1	DQ394807.1	0.3226783851210879	1	1	1
GCF_000006865.1	NC_031064.1	0.3150973123031877	2	1	1
GCF_000006865.1	DQ838728.1	0.295233872608812	1	1	1
GCF_000006865.1	NC_049809.1	0.2880087957307272	2	1	1
GCF_000006865.1	DQ394809.1	0.2684399919763877	2	1	1
GCF_000006865.1	NC_004302.1	0.2130107298350824	2	1	1
GCF_000006865.1	NC_031040.1	0.1974886297558383	2	1	1
GCF_000006865.1	NC_005822.1	0.1961750391644909	2	0	1
GCF_000006865.1	NC_031013.1	0.1632309742411908	2	1	1
GCF_000006865.1	NC_031017.1	0.1470708062575211	2	1	1
GCF_000006865.1	NC_002670.1	0.1400964851826326	2	1	1
GCF_000006865.1	NC_049812.1	0.1003845668276972	4	1	1
GCF_000006865.1	NC_049811.1	0.0972258868961906	4	1	1
GCF_000006865.1	NC_021861.1	0.0961123972824328	4	1	1
GCF_000006865.1	NC_049810.1	0.0878193917710196	4	1	1
GCF_000006865.1	NC_002185.1	0.0514349405064004	2	0	0
GCF_000006865.1	AF145054.1	0.0514349405064004	2	0	0
GCF_000006865.1	NC_049481.1	0.0484855433989788	1	1	1
GCF_000006865.1	NC_049355.1	0.0424932694111516	1	1	1
GCF_000006865.1	NC_031016.1	0.0414887194894842	5	0	1
GCF_000006865.1	NC_004303.1	0.0384803953569355	3	0	0
GCF_000006865.1	NC_020197.1	0.0316937240713941	2	0	0
GCF_000006865.1	NC_027341.1	0.029659666789736	2	1	1
GCF_000006865.1	NC_049488.1	0.0277773028783511	2	1	1
GCF_000006865.1	NC_049398.1	0.0274649378503534	2	1	1
GCF_000006865.1	NC_049375.1	0.0269988655846576	1	1	1
GCF_000006865.1	NC_049487.1	0.0265206589807853	2	1	1
GCF_000006865.1	NC_049409.1	0.0254028024338989	2	1	1
GCF_000006865.1	NC_049482.1	0.0253416105925765	2	1	1
GCF_000006865.1	NC_023574.1	0.0247482868389526	2	0	1
GCF_000006865.1	NC_013154.1	0.0244204454148471	2	0	1
GCF_000006865.1	NC_013153.1	0.0244050989770624	2	1	1
GCF_000006865.1	NC_049400.1	0.0243179192616735	2	1	1
GCF_000006865.1	NC_049423.1	0.0242722921833231	3	0	1
GCF_000006865.1	NC_049474.1	0.024247067927773	2	1	1
GCF_000006865.1	NC_049412.1	0.0239187000126951	2	1	1
GCF_000006865.1	NC_049420.1	0.0239039313868119	3	0	1
GCF_000006865.1	NC_001909.1	0.0238839075392076	2	1	1
GCF_000006865.1	NC_049421.1	0.0238144971012538	3	0	1
GCF_000006865.1	NC_049416.1	0.0237864905017861	3	0	1
GCF_000006865.1	NC_049351.1	0.0233991672096963	2	0	1
GCF_000006865.1	NC_049365.1	0.023373486724554	2	1	1
GCF_000006865.1	NC_049422.1	0.0232877978839117	3	0	1
GCF_000006865.1	NC_049354.1	0.0231618293414229	2	1	1
GCF_000006865.1	NC_049370.1	0.0229104529153938	2	1	1
GCF_000006865.1	NC_049419.1	0.0228317498788172	3	0	1
GCF_000006865.1	NC_049369.1	0.0227521857640685	2	1	1
GCF_000006865.1	NC_049358.1	0.02268784687287	2	1	1
GCF_000006865.1	NC_049403.1	0.0221331734759752	2	1	1
GCF_000006865.1	NC_049411.1	0.0221228432349066	2	1	1
GCF_000006865.1	NC_049418.1	0.0219282588454376	3	0	1
GCF_000006865.1	NC_049856.1	0.0218742043941661	2	1	1
GCF_000006865.1	NC_049424.1	0.0217537144179588	2	1	1
GCF_000006865.1	NC_055050.1	0.0214640763191891	2	0	1
GCF_000006865.1	NC_049366.1	0.0205961555209953	2	1	1
GCF_000006865.1	NC_049446.1	0.0204504982668977	2	1	1
GCF_000006865.1	NC_021852.1	0.0203125274206068	2	1	1
GCF_000006865.1	NC_049434.1	0.0199423177283192	2	1	1
GCF_000006865.1	KC182543.1	0.0192917919786644	2	1	1
GCF_000006865.1	NC_010576.1	0.0189941298990952	2	1	1
GCF_000006865.1	NC_031069.1	0.0183319303981178	1	0	0
GCF_000006865.1	NC_047763.1	0.0182850013714076	1	0	0
GCF_000006865.1	NC_031023.1	0.0182848708995681	1	0	0
GCF_000006865.1	NC_031094.1	0.0181237199818758	1	0	0
GCF_000006865.1	NC_049483.1	0.0179591764467826	2	1	1
GCF_000006865.1	NC_021853.1	0.0174483421467668	2	1	1
GCF_000006865.1	NC_049415.1	0.0170875777126099	2	1	1
GCF_000006865.1	NC_049405.1	0.0170295868530179	2	1	1
GCF_000006865.1	NC_049363.1	0.0167120813282768	4	1	1
GCF_000006865.1	NC_049417.1	0.0157168647056809	2	0	1
GCF_000006865.1	NC_029058.1	0.0144665197839183	2	0	0
GCF_000006865.1	NC_049485.1	0.0140108856766606	1	1	1
GCF_000006865.1	NC_013152.1	0.013686334227231	2	1	1
GCF_000006865.1	NC_008371.1	0.0126763850945251	1	1	1
GCF_000006865.1	NC_042024.1	0.0126111541946004	1	0	1
GCF_000006865.1	NC_017696.1	0.0121906867588932	2	1	1
GCF_000006865.1	JQ740795.1	0.0121303794745736	2	1	1
GCF_000006865.1	JQ740792.1	0.0121300067596632	2	1	1
GCF_000006865.1	NC_001835.1	0.0121050648483357	1	1	1
GCF_000006865.1	AF011378.1	0.0121050648483357	1	1	1
GCF_000006865.1	KF676640.1	0.0121046393926613	1	1	1
GCF_000006865.1	JQ740790.1	0.0118989450840918	2	1	1
GCF_000006865.1	JQ740807.1	0.0118798043788055	2	1	1
GCF_000006865.1	NC_049486.1	0.0116154601226993	1	1	1
GCF_000006865.1	NC_017698.1	0.0115447828276469	2	1	1
GCF_000006865.1	JQ740805.1	0.0115447828276469	2	1	1
GCF_000006865.1	JQ740812.1	0.0115444194756554	2	1	1
GCF_000006865.1	JQ740808.1	0.0115440561465349	2	1	1
GCF_000006865.1	NC_049425.1	0.0114696575069693	3	1	1
GCF_000006865.1	NC_049407.1	0.0114618352132762	2	1	1
GCF_000006865.1	NC_017702.1	0.0114542934765637	2	1	1
GCF_000006865.1	JQ740797.1	0.0114453582126809	2	1	1
GCF_000006865.1	JQ740796.1	0.011443929863971	2	1	1
GCF_000006865.1	NC_049397.1	0.0113421887824897	1	1	1
GCF_000006865.1	NC_049408.1	0.0113170671309731	2	1	1
GCF_000006865.1	NC_049357.1	0.0112864659270998	2	1	1
GCF_000006865.1	NC_049414.1	0.0110922806430006	1	1	1
GCF_000006865.1	JQ740801.1	0.0110694313238036	2	1	1
GCF_000006865.1	JQ740799.1	0.0110491733614566	2	1	1
GCF_000006865.1	JQ740800.1	0.0110484879501256	2	1	1
GCF_000006865.1	JQ740806.1	0.0110481452763476	2	1	1
GCF_000006865.1	JQ740803.1	0.0110481452763476	2	1	1
GCF_000006865.1	JQ740810.1	0.0110457471549505	2	1	1
GCF_000006865.1	JQ740814.1	0.0110368489542989	2	1	1
GCF_000006865.1	JQ740809.1	0.0110368489542989	2	1	1
GCF_000006865.1	JQ740794.1	0.0110368489542989	2	1	1
GCF_000006865.1	JQ740798.1	0.0110365070021068	2	1	1
GCF_000006865.1	JQ740793.1	0.0110361650711032	2	1	1
GCF_000006865.1	JQ740811.1	0.0110129633637347	2	1	1
GCF_000006865.1	JQ740791.1	0.010933191123661	2	1	1
GCF_000006865.1	NC_017695.1	0.010932855564422	2	1	1
GCF_000006865.1	JQ740802.1	0.0109325200257803	2	1	1
GCF_000006865.1	NC_017688.1	0.0109094440673782	2	1	1
GCF_000006865.1	NC_009817.1	0.0107683764135702	1	1	1
GCF_000006865.1	NC_049426.1	0.0107558705099477	3	1	1
GCF_000006865.1	NC_021860.1	0.0107298295271791	1	0	1
GCF_000006865.1	NC_049484.1	0.0106919638578958	1	1	1
GCF_000006865.1	NC_049410.1	0.010460776705744	1	1	1
GCF_000006865.1	KC182548.1	0.0102516921028705	1	1	1
GCF_000006865.1	NC_049476.1	0.010018988898064	2	1	1
GCF_000006865.1	NC_049480.1	0.0097047671250648	1	1	1
GCF_000006865.1	NC_007019.1	0.0096268701014292	2	0	0
GCF_000006865.1	NC_010353.1	0.0093996258053625	1	0	0
GCF_000006865.1	NC_049381.1	0.009057767893247	4	1	1
GCF_000006865.1	NC_021855.1	0.0088942857142857	2	0	1
GCF_000006865.1	NC_049374.1	0.0080816126941005	3	1	1
GCF_000006865.1	NC_049356.1	0.0068721155114366	4	1	1
GCF_000006865.1	NC_022776.1	0.0067699379744713	5	0	0
GCF_000006865.1	NC_049406.1	0.0067126081900751	2	1	1
GCF_000006865.1	NC_049377.1	0.0066103271901709	4	1	1
GCF_000006865.1	NC_013155.1	0.00625505624262	2	1	1
GCF_000006865.1	NC_029030.1	0.0052036778761061	2	0	0
GCF_000006865.1	NC_008363.1	0.0049724795010161	2	1	1
GCF_000006865.1	NC_028700.1	0.0042660037918685	7	0	0
GCF_000006865.1	NC_049857.1	0.0042317753590791	2	1	1
GCF_000006865.1	NC_004587.1	0.0039619638242894	3	0	0
GCF_000006865.1	NC_012753.1	0.0039346062822719	4	0	0
GCF_000006865.1	NC_003157.5	0.0038415589477102	3	0	0
GCF_000006865.1	NC_023503.1	0.0037026557377049	2	0	0
GCF_000006865.1	NC_054992.1	0.0036952390031322	1	1	1
GCF_000006865.1	NC_019418.1	0.0034816790944691	2	0	0
GCF_000006865.1	NC_049855.1	0.0034328489066071	1	1	1
GCF_000006865.1	NC_001706.1	0.0034231769799747	2	1	1
GCF_000006865.1	NC_021854.1	0.0033551370579619	1	0	1
GCF_000006865.1	NC_008364.1	0.0031088793005991	2	1	1
GCF_000006865.1	NC_049404.1	0.0029877772747849	2	1	1
GCF_000006865.1	NC_049413.1	0.0027777383470961	3	1	1
GCF_000006865.1	NC_000872.1	0.0027763052603156	7	0	0
GCF_000006865.1	AF115103.1	0.0027763052603156	7	0	0
GCF_000006865.1	NC_054993.1	0.0027695697329376	3	1	1
GCF_000006865.1	NC_015252.1	0.0026196866289611	9	0	0
GCF_000006865.1	NC_049362.1	0.0025592223107569	1	1	1
GCF_000006865.1	NC_028984.1	0.0025468960344377	3	0	0
GCF_000006865.1	NC_013645.1	0.0025342732641476	5	0	0
GCF_000006865.1	NC_012884.1	0.0025074010338074	3	0	0
GCF_000006865.1	NC_000871.1	0.0024403671394166	5	0	0
GCF_000006865.1	AF115102.1	0.0024403671394166	5	0	0
GCF_000006865.1	NC_028900.1	0.0021887436043206	2	0	1
GCF_000006865.1	NC_002072.2	0.0021169668246445	5	0	0
GCF_000006865.1	NC_055002.1	0.0020736180973837	2	1	1
GCF_000006865.1	NC_005355.1	0.002060213983578	5	0	0
GCF_000006865.1	NC_013598.1	0.0018889097818437	5	0	0
GCF_000006865.1	NC_028671.2	0.0018200399046182	8	0	0
GCF_000006865.1	NC_013696.1	0.0017467656811919	4	0	0
GCF_000006865.1	NC_015263.1	0.0015431130628746	3	1	1
GCF_000006865.1	NC_049854.1	0.0013369383564914	2	1	1
GCF_000006865.1	NC_049806.1	0.0007811651335238	4	1	1
GCF_000006865.1	NC_049807.1	0.0007622446578786	4	1	1
GCF_000006865.1	NC_009760.1	0.000502427517036	2	0	0
GCF_000006905.1	NC_007497.1	0.0024769127875869	13	0	0
GCF_000006925.2	NC_003356.1	0.3213083076923076	1	0	0
GCF_000006925.2	NC_049946.1	0.3206879016840221	9	0	0
GCF_000006925.2	NC_049948.1	0.3046669911822207	8	0	0
GCF_000006925.2	NC_019716.1	0.3041797348910357	7	0	0
GCF_000006925.2	NC_009514.1	0.2579041168839454	7	0	0
GCF_000006925.2	NC_049953.1	0.2244093812468236	11	0	0
GCF_000006925.2	NC_049947.1	0.2095405913966982	11	0	0
GCF_000006925.2	NC_049955.1	0.1914340149253731	12	0	0
GCF_000006925.2	NC_049949.1	0.182514245474992	11	0	0
GCF_000006925.2	NC_042057.1	0.1806650669772859	11	0	0
GCF_000006925.2	NC_049951.1	0.1786210393385594	11	0	0
GCF_000006925.2	NC_019711.1	0.1749291828793774	11	0	0
GCF_000006925.2	NC_019723.1	0.170175187937991	11	0	0
GCF_000006925.2	NC_001416.1	0.1652210135664508	11	0	0
GCF_000006925.2	NC_049954.1	0.1639243986254295	12	0	0
GCF_000006925.2	NC_049952.1	0.1535537600229682	11	0	0
GCF_000006925.2	NC_049941.1	0.1040214216644378	11	0	0
GCF_000006925.2	NC_049943.1	0.1004403507546115	10	0	0
GCF_000006925.2	NC_004813.1	0.0909444829967201	9	0	0
GCF_000006925.2	NC_049945.1	0.0908990820930353	10	0	0
GCF_000006925.2	NC_028696.2	0.089406691180028	7	0	0
GCF_000006925.2	NC_011357.1	0.0884307464559834	9	0	0
GCF_000006925.2	NC_049942.1	0.0869302423161649	10	0	0
GCF_000006925.2	NC_022749.1	0.085641209316364	12	1	1
GCF_000006925.2	NC_010392.1	0.0759099265843146	27	0	0
GCF_000006925.2	NC_010237.1	0.0722325893209243	8	0	0
GCF_000006925.2	NC_021857.1	0.0694291115129596	13	1	1
GCF_000006925.2	NC_027984.1	0.0687971704492258	8	0	0
GCF_000006925.2	NC_005344.1	0.0674484952488282	12	1	1
GCF_000006925.2	AF547987.1	0.0674484952488282	12	1	1
GCF_000006925.2	NC_028699.1	0.0662718645066274	19	0	0
GCF_000006925.2	NC_049924.1	0.0641974594761171	8	0	0
GCF_000006925.2	KF030445.1	0.0609891578480451	21	0	0
GCF_000006925.2	NC_049923.1	0.0578530520774046	8	0	0
GCF_000006925.2	NC_041935.1	0.0551526055602688	9	0	0
GCF_000006925.2	NC_049944.1	0.0549302769750831	13	0	0
GCF_000006925.2	NC_011356.1	0.0533005931215389	12	0	0
GCF_000006925.2	NC_004914.3	0.0518688182949	11	0	0
GCF_000006925.2	NC_049922.1	0.051816449651396	8	0	0
GCF_000006925.2	NC_049919.1	0.0495305214086154	8	0	0
GCF_000006925.2	NC_028656.1	0.0474567887195815	5	0	0
GCF_000006925.2	NC_028449.1	0.0472324560713555	4	0	0
GCF_000006925.2	NC_027398.1	0.0469767105466935	14	1	1
GCF_000006925.2	NC_000929.1	0.0456257668110139	4	0	0
GCF_000006925.2	NC_027382.1	0.0451947698271684	4	1	1
GCF_000006925.2	NC_013594.1	0.0450886746340808	5	0	0
GCF_000006925.2	NC_019706.1	0.0394756851332398	15	0	0
GCF_000006925.2	NC_002167.1	0.0384709566596194	15	0	0
GCF_000006925.2	NC_013059.1	0.0380729469188529	10	0	0
GCF_000006925.2	NC_011976.1	0.0362945336618932	11	0	0
GCF_000006925.2	NC_006949.1	0.0334857825159914	16	0	0
GCF_000006925.2	NC_019768.1	0.0294585617825793	17	0	0
GCF_000006925.2	NC_010391.1	0.0281443859279544	27	0	0
GCF_000006925.2	NC_003444.1	0.0272653266440092	23	1	1
GCF_000006925.2	NC_026014.1	0.0243560194337409	7	0	0
GCF_000006925.2	NC_004313.1	0.0206629455279085	30	0	0
GCF_000006925.2	NC_005856.1	0.0202531118143459	6	0	0
GCF_000006925.2	NC_027339.1	0.0194850035166323	30	1	1
GCF_000006925.2	NC_042128.1	0.0186498226722475	7	0	0
GCF_000006925.2	NC_010393.1	0.0177485863874345	34	0	0
GCF_000006925.2	NC_029120.1	0.0163869338809034	16	0	1
GCF_000006925.2	NC_008464.1	0.0155132819814734	16	0	0
GCF_000006925.2	NC_025434.1	0.0154061787269334	14	1	1
GCF_000006925.2	NC_019442.1	0.014555519389323	9	0	0
GCF_000006925.2	NC_000902.1	0.0144404249942568	19	0	0
GCF_000006925.2	NC_002730.1	0.0142940997989398	16	0	0
GCF_000006925.2	NC_000924.1	0.0142699591373439	19	0	0
GCF_000006925.2	AP004402.1	0.01378435618878	17	0	0
GCF_000006925.2	NC_049918.1	0.0137280106417284	12	0	0
GCF_000006925.2	NC_031940.1	0.0128381311793214	31	0	0
GCF_000006925.2	NC_028660.1	0.0128126184975833	9	0	0
GCF_000006925.2	NC_028685.1	0.0126964280600149	12	0	1
GCF_000006925.2	NC_049921.1	0.012673172627488	20	0	0
GCF_000006925.2	NC_019715.1	0.012090421446258	28	0	0
GCF_000006925.2	NC_004913.3	0.0120272478535395	21	0	0
GCF_000006925.2	NC_030919.1	0.0118914357112546	27	0	0
GCF_000006925.2	KJ909655.1	0.0117772088915059	20	0	0
GCF_000006925.2	NC_005841.1	0.0113700893914135	25	0	0
GCF_000006925.2	NC_019704.1	0.0112629850140845	39	0	0
