viral_acc	virus_name	report_host	corrected_name	find_name	gcfs	new_gcf	assembly_category	assembly_level	tax_ranks
NC_028991	Clostridium phage phiCT453A	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	['GCF_000762325.1']	GCF_000762325.1	Unreference	Scaffold	
NC_029004	Clostridium phage phiCT453B	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	['GCF_000762325.1']	GCF_000762325.1	Unreference	Scaffold	
NC_029022	Clostridium phage phiCT9441A	Clostridium tetani ATCC 9441	Clostridium tetani ATCC 9441	Clostridium tetani ATCC 9441	['GCF_000762315.1']	GCF_000762315.1	Unreference	Scaffold	strain
NC_018276	Croceibacter phage P2559S	Croceibacter atlanticus HTCC2559	Croceibacter atlanticus HTCC2559	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	GCF_000196315.1	Represent	Complete Genome	strain
NC_023614	Croceibacter phage P2559Y	Croceibacter atlanticus HTCC2559	Croceibacter atlanticus HTCC2559	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	GCF_000196315.1	Represent	Complete Genome	strain
NC_024354	Cronobacter phage CR8	Cronobacter sakazakii ATCC 29544	Cronobacter sakazakii ATCC 29544	Cronobacter sakazakii ATCC 29544	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	
NC_018454	Cronobacter phage phiES15	UV-induced Cronobacter sakazakii ES15	Cronobacter sakazakii ES15	Cronobacter sakazakii ES15	['GCF_000263215.1']	GCF_000263215.1	Unreference	Complete Genome	strain
NC_028773	Cronobacter phage S13	Cronobacter sakazakii ATCC 29544	Cronobacter sakazakii ATCC 29544	Cronobacter sakazakii ATCC 29544	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	
NC_020865	Cyanophage KBS-P-1A	Synechococcus sp. WH7803	Synechococcus sp. WH7803	Synechococcus sp. WH7803	['GCF_000063505.1']	GCF_000063505.1	Unreference	Complete Genome	species
NC_020854	Cyanophage KBS-S-2A	Synechococcus sp. WH7803	Synechococcus sp. WH7803	Synechococcus sp. WH7803	['GCF_000063505.1']	GCF_000063505.1	Unreference	Complete Genome	species
NC_020857	Cyanophage MED4-117	Prochlorococcus MED4	Prochlorococcus MED4	Prochlorococcus MED4	['GCF_000011465.1']	GCF_000011465.1	Unreference	Complete Genome	
NC_016659	Cyanophage NATL2A-133	Prochlorococcus sp. NATL2A	Prochlorococcus sp. NATL2A	Prochlorococcus sp. NATL2A	['GCF_000012465.1']	GCF_000012465.1	Unreference	Complete Genome	strain
NC_020855	Cyanophage P-RSM6	Prochlorococcus NATL2A	Prochlorococcus NATL2A	Prochlorococcus NATL2A	['GCF_000012465.1']	GCF_000012465.1	Unreference	Complete Genome	
NC_028663	Cyanophage P-TIM40	Prochlorococcus sp. NATL2A	Prochlorococcus sp. NATL2A	Prochlorococcus sp. NATL2A	['GCF_000012465.1']	GCF_000012465.1	Unreference	Complete Genome	strain
NC_013021	Cyanophage PSS2	Prochlorococcus marinus str. MIT 9313	Prochlorococcus marinus str. MIT 9313	Prochlorococcus marinus str. MIT 9313	['GCF_000011485.1']	GCF_000011485.1	Unreference	Complete Genome	strain
NC_019516	Cyanophage S-TIM5	Synechococcus sp. WH8102	Synechococcus sp. WH8102	Synechococcus sp. WH8102	['GCA_014383055.1', 'GCA_014381295.1', 'GCA_012270465.1', 'GCA_012269695.1']	GCA_014383055.1	Unreference	Scaffold	
NC_020872	Cyanophage SS120-1	Prochlorococcus marinus SS120	Prochlorococcus marinus SS120	Prochlorococcus marinus SS120	['GCF_000007925.1']	GCF_000007925.1	Represent	Complete Genome	strain
NC_021072	Cyanophage Syn30	Synechococcus sp. WH7803	Synechococcus sp. WH7803	Synechococcus sp. WH7803	['GCF_000063505.1']	GCF_000063505.1	Unreference	Complete Genome	species
NC_012741	Enterobacteria phage JS10	Escherichia coli K12	Escherichia coli K12	Escherichia coli K12	['GCF_000005845.2']	GCF_000005845.2	Reference	Complete Genome	
NC_031051	Enterococcus phage SANTOR1	Enterococcus faecalis ATCC 19433	Enterococcus faecalis ATCC 19433	Enterococcus faecalis ATCC 19433	['GCF_000392875.1']	GCF_000392875.1	Unreference	Scaffold	strain
NC_028693	Enterococcus phage vB_EfaP_IME195	Enterococcus faecalis 2003	Enterococcus faecalis 2003	Enterococcus faecalis 2003	['GCF_000007785.1']	GCF_000007785.1	Unreference	Complete Genome	
NC_023743	Escherichia phage EB49	Escherichia coli CFT073	Escherichia coli CFT073	Escherichia coli CFT073	['GCF_014262945.1', 'GCF_000007445.1']	GCF_014262945.1	Unreference	Complete Genome	strain
NC_012740	Escherichia phage JSE	Escherichia coli K12	Escherichia coli K12	Escherichia coli K12	['GCF_000005845.2']	GCF_000005845.2	Reference	Complete Genome	
NC_041935	Escherichia phage PA28	Escherichia coli PA28	Escherichia coli PA28	Escherichia coli PA28	['GCF_000267765.2', 'GCF_000267765.1']	GCF_000267765.2	Unreference	Scaffold	strain
NC_042043	Escherichia phage SRT8	Escherichia coli BL21	Escherichia coli BL21	Escherichia coli BL21	['GCF_014263375.1', 'GCF_013166975.1']	GCF_014263375.1	Unreference	Complete Genome	strain
NC_031082	Escherichia phage vB_EcoM_Alf5	Escherichia coli K12	Escherichia coli K12	Escherichia coli K12	['GCF_000005845.2']	GCF_000005845.2	Reference	Complete Genome	
NC_041926	Escherichia phage vB_EcoM_ECOO78	Escherichia coli O78	Escherichia coli O78	Escherichia coli O78	['GCF_020217445.1']	GCF_020217445.1	Unreference	Complete Genome	serogroup
NC_027125	Flavobacterium phage FCL-2	Flavobacterium columnare B185	Flavobacterium columnare B185	Flavobacterium columnare B185	['GCF_001580475.1']	GCF_001580475.1	Unreference	Complete Genome	
NC_031914	Flavobacterium phage Fpv1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031932	Flavobacterium phage Fpv10	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031945	Flavobacterium phage Fpv11	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031931	Flavobacterium phage Fpv2	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031912	Flavobacterium phage Fpv20	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031904	Flavobacterium phage Fpv3	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_041872	Flavobacterium phage FpV4	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031921	Flavobacterium phage Fpv5	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031938	Flavobacterium phage Fpv6	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031905	Flavobacterium phage Fpv7	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_031919	Flavobacterium phage Fpv8	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	Flavobacterium psychrophilum 950106-1/1	['GCF_013457195.1', 'GCF_000767095.1']	GCF_013457195.1	Unreference	Complete Genome	
NC_041883	Gordonia phage Attis	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030936	Gordonia phage Bachita	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031074	Gordonia phage Bantam	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031226	Gordonia phage BaxterFox	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031247	Gordonia phage BetterKatz	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030943	Gordonia phage Blueberry	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030930	Gordonia phage Bowser	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042108	Gordonia phage Brandonk123	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030942	Gordonia phage BritBrat	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031072	Gordonia phage CaptainKirk2	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031118	Gordonia phage CarolAnn	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030901	Gordonia phage ClubL	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030941	Gordonia phage Cozz	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031029	Gordonia phage Cucurbita	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030944	Gordonia phage Demosthenes	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031234	Gordonia phage Emalyn	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031122	Gordonia phage Eyre	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031028	Gordonia phage Ghobes	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031265	Gordonia phage Guacamole	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042088	Gordonia phage Gustav	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031099	Gordonia phage Hedwig	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031229	Gordonia phage Hotorobo	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031060	Gordonia phage JSwag	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031109	Gordonia phage Jumbo	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030695	Gordonia phage KatherineG	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_041950	Gordonia phage Katyusha	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031233	Gordonia phage Kita	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030914	Gordonia phage Kvothe	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042045	Gordonia phage Lennon	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031267	Gordonia phage Lucky10	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042089	Gordonia phage Mahdia	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030924	Gordonia phage Monty	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031004	Gordonia phage Nyceirae	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031061	Gordonia phage Nymphadora	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031237	Gordonia phage Obliviate	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030917	Gordonia phage OneUp	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030915	Gordonia phage Orchid	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031112	Gordonia phage Phinally	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031031	Gordonia phage Remus	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030694	Gordonia phage Rosalind	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031255	Gordonia phage Schnabeltier	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030696	Gordonia phage Smoothie	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031251	Gordonia phage SoilAssassin	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030698	Gordonia phage Soups	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042132	Gordonia phage Sour	Gordonia terrae NRRL B-16283	Gordonia terrae NRRL B-16283	Gordonia terrae NRRL B-16283	['GCF_011290605.1', 'GCF_003183825.1', 'GCF_001698225.1']	GCF_011290605.1	Unreference	Complete Genome	
NC_030927	Gordonia phage Splinter	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_041886	Gordonia phage Strosahl	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031001	Gordonia phage Terapin	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_042102	Gordonia phage Troje	Gordonia terrea 3612	Gordonia terrea 3612	Gordonia terrea 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031052	Gordonia phage Twister6	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031249	Gordonia phage UmaThurman	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030911	Gordonia phage Vendetta	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031239	Gordonia phage Vivi2	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030913	Gordonia phage Wizard	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_030905	Gordonia phage Woes	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031269	Gordonia phage Yeezy	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031230	Gordonia phage Yvonnetastic	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_031097	Gordonia phage Zirinka	Gordonia terrae 3612	Gordonia terrae 3612	Gordonia terrae 3612	['GCF_001698225.1']	GCF_001698225.1	Unreference	Complete Genome	
NC_023592	Haloarcula hispanica pleomorphic virus 2	Haloarcula hispanica ATCC 33960	Haloarcula hispanica ATCC 33960	Haloarcula hispanica ATCC 33960	['GCF_000223905.1']	GCF_000223905.1	Unreference	Complete Genome	strain
NC_020998	Haloarcula hispanica virus PH1	Haloarcula hispanica ATCC 33960	Haloarcula hispanica ATCC 33960	Haloarcula hispanica ATCC 33960	['GCF_000223905.1']	GCF_000223905.1	Unreference	Complete Genome	strain
NC_012558	Halorubrum pleomorphic virus 1	Halorubrum sp. PV6	Halorubrum sp. PV6	Halorubrum sp. PV6	['GCF_003990725.2', 'GCF_003990725.1']	GCF_003990725.2	Unreference	Complete Genome	species
NC_029099	Klebsiella phage KP36	Klebsiella pneumoniae KP36	Klebsiella pneumoniae KP36	Klebsiella pneumoniae KP36	['GCF_009856585.1', 'GCF_001750805.1']	GCF_009856585.1	Unreference	Complete Genome	
NC_031053	Klebsiella phage PKP126	Klebsiella pneumoniae KCTC 2242	Klebsiella pneumoniae KCTC 2242	Klebsiella pneumoniae KCTC 2242	['GCF_000220485.1']	GCF_000220485.1	Unreference	Complete Genome	strain
NC_031087	Klebsiella phage vB_KpnM_KpV477	Klebsiella pneumoniae KPB463	Klebsiella pneumoniae KPB463	Klebsiella pneumoniae KPB463	['GCF_000240185.1']	GCF_000240185.1	Reference	Complete Genome	
NC_004112	Lactobacillus phage A2	Lactobacillus casei ATCC 393	Lactobacillus casei ATCC 393	Lactobacillus casei ATCC 393	['GCF_000829055.1']	GCF_000829055.1	Represent	Complete Genome	
