species	Count	Percent
Synechococcus sp. CBW1002	1	0.0002
Achromobacter spanius	1	0.0002
Staphylococcus xylosus	1	0.0002
Anoxybacillus caldiproteolyticus	1	0.0002
Staphylococcus saprophyticus	1	0.0002
Methanothermobacter thermautotrophicus	1	0.0002
Chlamydia abortus	1	0.0002
Weissella cibaria	1	0.0002
Streptococcus parauberis	1	0.0002
Nitratiruptor sp. SB155-2	1	0.0002
Paracoccus marcusii	1	0.0002
Rhodovulum sp. P5	1	0.0002
Nocardia brasiliensis	1	0.0002
Dickeya fangzhongdai	1	0.0002
Lactobacillus helveticus	1	0.0002
Agrobacterium fabacearum	1	0.0002
Rhizobium gallicum	1	0.0002
Parabacteroides merdae	1	0.0002
Chlamydia pneumoniae	1	0.0002
Bacteroides thetaiotaomicron	1	0.0002
Photobacterium damselae	1	0.0002
Burkholderia glumae	1	0.0002
Pyrococcus abyssi	1	0.0002
Delftia tsuruhatensis	1	0.0002
Mycobacterium avium	1	0.0002
Microbacterium oxydans	1	0.0002
Cronobacter malonaticus	1	0.0002
Riemerella anatipestifer	1	0.0002
Streptococcus equi	1	0.0002
Spiroplasma melliferum	1	0.0002
Brevibacterium aurantiacum	1	0.0002
Mycobacterium tuberculosis	1	0.0002
Butyrivibrio fibrisolvens	1	0.0002
Gordonia alkanivorans	1	0.0002
Acinetobacter pittii	1	0.0002
Pseudomonas agarici	1	0.0002
Azospirillum brasilense	1	0.0002
Vibrio owensii	1	0.0002
Celeribacter marinus	1	0.0002
Staphylococcus capitis	1	0.0002
Nostoc sp. PCC 7120 = FACHB-418	1	0.0002
Candidatus Azobacteroides pseudotrichonymphae	1	0.0002
Parabacteroides distasonis	1	0.0002
Serratia rubidaea	1	0.0002
Lactobacillus jensenii	1	0.0002
Spiroplasma citri	1	0.0002
Aeromonas media	1	0.0002
Tenacibaculum maritimum	1	0.0002
Xanthomonas euvesicatoria	1	0.0002
Shigella dysenteriae	1	0.0002
Eggerthella lenta	1	0.0002
Planktothrix agardhii	1	0.0002
Candidatus Liberibacter asiaticus	1	0.0002
Candidatus Hamiltonella defensa	1	0.0002
Acinetobacter soli	1	0.0002
Ralstonia pickettii	1	0.0002
Nitrososphaera viennensis	1	0.0002
Edwardsiella anguillarum	1	0.0002
Acidovorax citrulli	1	0.0002
Rhodococcus opacus	1	0.0002
Rhodococcus rhodochrous	1	0.0002
Pseudomonas chlororaphis	1	0.0002
Streptococcus salivarius	1	0.0002
Pseudoalteromonas atlantica	1	0.0002
Staphylococcus haemolyticus	1	0.0002
Enterobacter cancerogenus	1	0.0002
Sulfolobus sp. A20	1	0.0002
Rhodococcus globerulus	1	0.0002
Thermoproteus tenax	1	0.0002
Streptococcus mitis	1	0.0002
Aliivibrio fischeri	1	0.0002
Acidianus brierleyi	1	0.0002
Rhodothermus marinus	1	0.0002
Geobacillus stearothermophilus	1	0.0002
Sinomonas atrocyanea	1	0.0002
Citrobacter amalonaticus	1	0.0002
Leclercia adecarboxylata	1	0.0002
Halorubrum sp. PV6	1	0.0002
Proteus penneri	1	0.0002
Thermoanaerobacterium saccharolyticum	1	0.0002
Marinomonas mediterranea	1	0.0002
Pyrobaculum arsenaticum	1	0.0002
Mycoplasma arthritidis	1	0.0002
Parageobacillus thermoglucosidasius	1	0.0002
Streptococcus dysgalactiae	1	0.0002
Alteromonas mediterranea	1	0.0002
Natrialba magadii	1	0.0002
Raoultella ornithinolytica	1	0.0002
Kitasatospora aureofaciens	1	0.0002
Pseudoalteromonas phenolica	1	0.0002
Glaesserella parasuis	1	0.0002
Paenibacillus glucanolyticus	1	0.0002
Salinivibrio costicola	1	0.0002
Vibrio anguillarum	1	0.0002
Clostridium sporogenes	1	0.0002
Burkholderia gladioli	1	0.0002
Morganella morganii	1	0.0002
Clostridium tyrobutyricum	1	0.0002
Clostridium botulinum	1	0.0002
Spiroplasma kunkelii	1	0.0002
Bacteroides xylanisolvens	1	0.0002
Staphylococcus pasteuri	1	0.0002
Bacteroides intestinalis	1	0.0002
Enterobacter asburiae	1	0.0002
Candidatus Puniceispirillum marinum	1	0.0002
Myxococcus xanthus	1	0.0002
Streptococcus gordonii	1	0.0002
Mesorhizobium loti	1	0.0002
Bacillus mycoides	1	0.0002
Bacillus velezensis	1	0.0002
Delftia acidovorans	1	0.0002
Streptococcus oralis	1	0.0002
Halorubrum sodomense	1	0.0002
Haloarcula sinaiiensis	1	0.0002
