virus	host
NC_000929	NC_011601
NC_001271	NC_015224
NC_001271	NC_017564
NC_001271	NC_008800
NC_001330	NC_007946
NC_001330	NC_008563
NC_001330	NC_009801
NC_001330	NC_010468
NC_001330	NC_010498
NC_001330	NC_011993
NC_001330	NC_012947
NC_001330	NC_017625
NC_001330	NC_017632
NC_001330	NC_017641
NC_001330	NC_017644
NC_001330	NC_017646
NC_001330	NC_016902
NC_001330	NC_017626
NC_001330	NC_017638
NC_001330	NC_017656
NC_001330	NC_009800
NC_001330	NC_010473
NC_001330	NC_017633
NC_001330	NC_007779
NC_001330	NC_011415
NC_001330	NC_011741
NC_001330	NC_011742
NC_001330	NC_011745
NC_001330	NC_011748
NC_001330	NC_012759
NC_001330	NC_012967
NC_001330	NC_013008
NC_001330	NC_013353
NC_001330	NC_013361
NC_001330	NC_013364
NC_001330	NC_017660
NC_001330	NC_017635
NC_001330	NC_017664
NC_001330	NC_017631
NC_001330	NC_012892
NC_001330	NC_012971
NC_001330	NC_013654
NC_001330	NC_020518
NC_001330	NC_013941
NC_001330	NC_017628
NC_001330	NC_017651
NC_001330	NC_017652
NC_001330	NC_017663
NC_001330	NC_017906
NC_001330	NC_018661
NC_001330	NC_018650
NC_001330	NC_020163
NC_001330	NC_022364
NC_001330	NC_022370
NC_001330	NC_022648
NC_001330	NC_000913
NC_001330	NC_011751
NC_001330	NC_011750
NC_001330	NC_017634
NC_001330	NC_018658
NC_001330	NC_002655
NC_001330	NC_002695
NC_001330	NC_004431
NC_001330	NC_008253
NC_001330	NC_011353
NC_001330	NC_011601
NC_001331	NC_008463
NC_001331	NC_009656
NC_001331	NC_011770
NC_001331	NC_017548
NC_001331	NC_020912
NC_001331	NC_021577
NC_001331	NC_017549
NC_001331	NC_018080
NC_001331	NC_022806
NC_001331	NC_022808
NC_001331	NC_023019
NC_001331	NC_023066
NC_001331	NC_023149
NC_001331	NC_002516
NC_001332	NC_007946
NC_001332	NC_008563
NC_001332	NC_009801
NC_001332	NC_010468
NC_001332	NC_010498
NC_001332	NC_011993
NC_001332	NC_012947
NC_001332	NC_017625
NC_001332	NC_017632
NC_001332	NC_017641
NC_001332	NC_017644
NC_001332	NC_017646
NC_001332	NC_016902
NC_001332	NC_017626
NC_001332	NC_017638
NC_001332	NC_017656
NC_001332	NC_009800
NC_001332	NC_010473
NC_001332	NC_017633
NC_001332	NC_007779
NC_001332	NC_011415
NC_001332	NC_011741
NC_001332	NC_011742
NC_001332	NC_011745
NC_001332	NC_011748
NC_001332	NC_012759
NC_001332	NC_012967
NC_001332	NC_013008
NC_001332	NC_013353
NC_001332	NC_013361
NC_001332	NC_013364
NC_001332	NC_017660
NC_001332	NC_017635
NC_001332	NC_017664
NC_001332	NC_017631
NC_001332	NC_012892
NC_001332	NC_012971
NC_001332	NC_013654
NC_001332	NC_020518
NC_001332	NC_013941
NC_001332	NC_017628
NC_001332	NC_017651
NC_001332	NC_017652
NC_001332	NC_017663
NC_001332	NC_017906
NC_001332	NC_018661
NC_001332	NC_018650
NC_001332	NC_020163
NC_001332	NC_022364
NC_001332	NC_022370
NC_001332	NC_022648
NC_001332	NC_000913
NC_001332	NC_011751
NC_001332	NC_011750
NC_001332	NC_017634
NC_001332	NC_018658
NC_001332	NC_002655
NC_001332	NC_002695
NC_001332	NC_004431
NC_001332	NC_008253
NC_001332	NC_011353
NC_001332	NC_011601
NC_001341	NC_010163
NC_001396	NC_010688
NC_001396	NC_017271
NC_001396	NC_003902
NC_001396	NC_007086
NC_001416	NC_007946
NC_001416	NC_008563
NC_001416	NC_009801
NC_001416	NC_010468
NC_001416	NC_010498
NC_001416	NC_011993
NC_001416	NC_012947
NC_001416	NC_017625
NC_001416	NC_017632
NC_001416	NC_017641
NC_001416	NC_017644
NC_001416	NC_017646
NC_001416	NC_016902
NC_001416	NC_017626
NC_001416	NC_017638
NC_001416	NC_017656
NC_001416	NC_009800
NC_001416	NC_010473
NC_001416	NC_017633
NC_001416	NC_007779
NC_001416	NC_011415
NC_001416	NC_011741
NC_001416	NC_011742
NC_001416	NC_011745
NC_001416	NC_011748
NC_001416	NC_012759
NC_001416	NC_012967
NC_001416	NC_013008
NC_001416	NC_013353
NC_001416	NC_013361
NC_001416	NC_013364
NC_001416	NC_017660
NC_001416	NC_017635
NC_001416	NC_017664
NC_001416	NC_017631
NC_001416	NC_012892
NC_001416	NC_012971
NC_001416	NC_013654
NC_001416	NC_020518
NC_001416	NC_013941
NC_001416	NC_017628
NC_001416	NC_017651
NC_001416	NC_017652
NC_001416	NC_017663
NC_001416	NC_017906
NC_001416	NC_018661
NC_001416	NC_018650
NC_001416	NC_020163
NC_001416	NC_022364
NC_001416	NC_022370
NC_001416	NC_022648
NC_001416	NC_000913
NC_001416	NC_011751
NC_001416	NC_011750
NC_001416	NC_017634
NC_001416	NC_018658
NC_001416	NC_002655
NC_001416	NC_002695
NC_001416	NC_004431
NC_001416	NC_008253
NC_001416	NC_011353
NC_001416	NC_011601
NC_001417	NC_007946
NC_001417	NC_008563
NC_001417	NC_009801
NC_001417	NC_010468
NC_001417	NC_010498
NC_001417	NC_011993
NC_001417	NC_012947
NC_001417	NC_017625
NC_001417	NC_017632
NC_001417	NC_017641
NC_001417	NC_017644
NC_001417	NC_017646
NC_001417	NC_016902
NC_001417	NC_017626
NC_001417	NC_017638
NC_001417	NC_017656
NC_001417	NC_009800
NC_001417	NC_010473
NC_001417	NC_017633
NC_001417	NC_007779
NC_001417	NC_011415
NC_001417	NC_011741
NC_001417	NC_011742
NC_001417	NC_011745
NC_001417	NC_011748
NC_001417	NC_012759
NC_001417	NC_012967
NC_001417	NC_013008
NC_001417	NC_013353
NC_001417	NC_013361
NC_001417	NC_013364
NC_001417	NC_017660
NC_001417	NC_017635
NC_001417	NC_017664
NC_001417	NC_017631
NC_001417	NC_012892
NC_001417	NC_012971
NC_001417	NC_013654
NC_001417	NC_020518
NC_001417	NC_013941
NC_001417	NC_017628
NC_001417	NC_017651
NC_001417	NC_017652
NC_001417	NC_017663
NC_001417	NC_017906
NC_001417	NC_018661
NC_001417	NC_018650
NC_001417	NC_020163
NC_001417	NC_022364
NC_001417	NC_022370
NC_001417	NC_022648
NC_001417	NC_000913
NC_001417	NC_011751
NC_001417	NC_011750
NC_001417	NC_017634
NC_001417	NC_018658
NC_001417	NC_002655
NC_001417	NC_002695
NC_001417	NC_004431
NC_001417	NC_008253
NC_001417	NC_011353
NC_001417	NC_011601
NC_001418	NC_008463
NC_001418	NC_009656
NC_001418	NC_011770
NC_001418	NC_017548
NC_001418	NC_020912
NC_001418	NC_021577
NC_001418	NC_017549
NC_001418	NC_018080
NC_001418	NC_022806
NC_001418	NC_022808
NC_001418	NC_023019
NC_001418	NC_023066
NC_001418	NC_023149
NC_001418	NC_002516
NC_001420	NC_007946
NC_001420	NC_008563
NC_001420	NC_009801
NC_001420	NC_010468
NC_001420	NC_010498
NC_001420	NC_011993
NC_001420	NC_012947
NC_001420	NC_017625
NC_001420	NC_017632
NC_001420	NC_017641
NC_001420	NC_017644
NC_001420	NC_017646
NC_001420	NC_016902
NC_001420	NC_017626
NC_001420	NC_017638
NC_001420	NC_017656
NC_001420	NC_009800
NC_001420	NC_010473
NC_001420	NC_017633
NC_001420	NC_007779
NC_001420	NC_011415
NC_001420	NC_011741
NC_001420	NC_011742
NC_001420	NC_011745
NC_001420	NC_011748
NC_001420	NC_012759
NC_001420	NC_012967
NC_001420	NC_013008
NC_001420	NC_013353
NC_001420	NC_013361
NC_001420	NC_013364
NC_001420	NC_017660
NC_001420	NC_017635
NC_001420	NC_017664
NC_001420	NC_017631
NC_001420	NC_012892
NC_001420	NC_012971
NC_001420	NC_013654
NC_001420	NC_020518
NC_001420	NC_013941
NC_001420	NC_017628
NC_001420	NC_017651
NC_001420	NC_017652
NC_001420	NC_017663
NC_001420	NC_017906
NC_001420	NC_018661
NC_001420	NC_018650
NC_001420	NC_020163
NC_001420	NC_022364
NC_001420	NC_022370
NC_001420	NC_022648
NC_001420	NC_000913
NC_001420	NC_011751
NC_001420	NC_011750
NC_001420	NC_017634
NC_001420	NC_018658
NC_001420	NC_002655
NC_001420	NC_002695
NC_001420	NC_004431
NC_001420	NC_008253
NC_001420	NC_011353
NC_001420	NC_011601
NC_001421	NC_007946
NC_001421	NC_008563
NC_001421	NC_009801
NC_001421	NC_010468
NC_001421	NC_010498
NC_001421	NC_011993
NC_001421	NC_012947
NC_001421	NC_017625
NC_001421	NC_017632
NC_001421	NC_017641
NC_001421	NC_017644
NC_001421	NC_017646
NC_001421	NC_016902
NC_001421	NC_017626
NC_001421	NC_017638
NC_001421	NC_017656
NC_001421	NC_009800
NC_001421	NC_010473
NC_001421	NC_017633
NC_001421	NC_007779
NC_001421	NC_011415
NC_001421	NC_011741
NC_001421	NC_011742
NC_001421	NC_011745
NC_001421	NC_011748
NC_001421	NC_012759
NC_001421	NC_012967
NC_001421	NC_013008
NC_001421	NC_013353
NC_001421	NC_013361
NC_001421	NC_013364
NC_001421	NC_017660
NC_001421	NC_017635
NC_001421	NC_017664
NC_001421	NC_017631
NC_001421	NC_012892
NC_001421	NC_012971
NC_001421	NC_013654
NC_001421	NC_020518
NC_001421	NC_013941
NC_001421	NC_017628
NC_001421	NC_017651
NC_001421	NC_017652
NC_001421	NC_017663
NC_001421	NC_017906
NC_001421	NC_018661
NC_001421	NC_018650
NC_001421	NC_020163
NC_001421	NC_022364
NC_001421	NC_022370
NC_001421	NC_022648
NC_001421	NC_000913
NC_001421	NC_011751
NC_001421	NC_011750
NC_001421	NC_017634
NC_001421	NC_018658
NC_001421	NC_002655
NC_001421	NC_002695
NC_001421	NC_004431
NC_001421	NC_008253
NC_001421	NC_011353
NC_001421	NC_011601
NC_001422	NC_007946
NC_001422	NC_008563
NC_001422	NC_009801
NC_001422	NC_010468
NC_001422	NC_010498
NC_001422	NC_011993
NC_001422	NC_012947
NC_001422	NC_017625
NC_001422	NC_017632
NC_001422	NC_017641
NC_001422	NC_017644
NC_001422	NC_017646
NC_001422	NC_016902
NC_001422	NC_017626
NC_001422	NC_017638
NC_001422	NC_017656
NC_001422	NC_009800
NC_001422	NC_010473
NC_001422	NC_017633
NC_001422	NC_007779
NC_001422	NC_011415
NC_001422	NC_011741
NC_001422	NC_011742
NC_001422	NC_011745
NC_001422	NC_011748
NC_001422	NC_012759
NC_001422	NC_012967
NC_001422	NC_013008
NC_001422	NC_013353
NC_001422	NC_013361
NC_001422	NC_013364
NC_001422	NC_017660
NC_001422	NC_017635
NC_001422	NC_017664
NC_001422	NC_017631
NC_001422	NC_012892
NC_001422	NC_012971
NC_001422	NC_013654
NC_001422	NC_020518
NC_001422	NC_013941
NC_001422	NC_017628
NC_001422	NC_017651
NC_001422	NC_017652
NC_001422	NC_017663
NC_001422	NC_017906
NC_001422	NC_018661
NC_001422	NC_018650
NC_001422	NC_020163
NC_001422	NC_022364
NC_001422	NC_022370
NC_001422	NC_022648
NC_001422	NC_000913
NC_001422	NC_011751
NC_001422	NC_011750
NC_001422	NC_017634
NC_001422	NC_018658
NC_001422	NC_002655
NC_001422	NC_002695
NC_001422	NC_004431
NC_001422	NC_008253
NC_001422	NC_011353
NC_001422	NC_011601
NC_001426	NC_007946
NC_001426	NC_008563
NC_001426	NC_009801
NC_001426	NC_010468
NC_001426	NC_010498
NC_001426	NC_011993
NC_001426	NC_012947
NC_001426	NC_017625
NC_001426	NC_017632
NC_001426	NC_017641
NC_001426	NC_017644
NC_001426	NC_017646
NC_001426	NC_016902
NC_001426	NC_017626
NC_001426	NC_017638
NC_001426	NC_017656
NC_001426	NC_009800
NC_001426	NC_010473
NC_001426	NC_017633
NC_001426	NC_007779
NC_001426	NC_011415
NC_001426	NC_011741
NC_001426	NC_011742
NC_001426	NC_011745
NC_001426	NC_011748
NC_001426	NC_012759
NC_001426	NC_012967
NC_001426	NC_013008
NC_001426	NC_013353
NC_001426	NC_013361
NC_001426	NC_013364
NC_001426	NC_017660
NC_001426	NC_017635
NC_001426	NC_017664
NC_001426	NC_017631
NC_001426	NC_012892
NC_001426	NC_012971
NC_001426	NC_013654
NC_001426	NC_020518
NC_001426	NC_013941
NC_001426	NC_017628
NC_001426	NC_017651
NC_001426	NC_017652
NC_001426	NC_017663
NC_001426	NC_017906
NC_001426	NC_018661
NC_001426	NC_018650
NC_001426	NC_020163
NC_001426	NC_022364
NC_001426	NC_022370
NC_001426	NC_022648
NC_001426	NC_000913
NC_001426	NC_011751
NC_001426	NC_011750
NC_001426	NC_017634
NC_001426	NC_018658
NC_001426	NC_002655
NC_001426	NC_002695
NC_001426	NC_004431
NC_001426	NC_008253
NC_001426	NC_011353
NC_001426	NC_011601
NC_001447	NC_010163
NC_001604	NC_007946
NC_001604	NC_008563
NC_001604	NC_009801
NC_001604	NC_010468
NC_001604	NC_010498
NC_001604	NC_011993
NC_001604	NC_012947
NC_001604	NC_017625
NC_001604	NC_017632
NC_001604	NC_017641
NC_001604	NC_017644
NC_001604	NC_017646
NC_001604	NC_016902
NC_001604	NC_017626
NC_001604	NC_017638
NC_001604	NC_017656
NC_001604	NC_009800
NC_001604	NC_010473
NC_001604	NC_017633
NC_001604	NC_007779
NC_001604	NC_011415
NC_001604	NC_011741
NC_001604	NC_011742
NC_001604	NC_011745
NC_001604	NC_011748
NC_001604	NC_012759
NC_001604	NC_012967
NC_001604	NC_013008
NC_001604	NC_013353
NC_001604	NC_013361
NC_001604	NC_013364
NC_001604	NC_017660
NC_001604	NC_017635
NC_001604	NC_017664
NC_001604	NC_017631
NC_001604	NC_012892
NC_001604	NC_012971
NC_001604	NC_013654
NC_001604	NC_020518
NC_001604	NC_013941
NC_001604	NC_017628
NC_001604	NC_017651
NC_001604	NC_017652
NC_001604	NC_017663
NC_001604	NC_017906
NC_001604	NC_018661
NC_001604	NC_018650
NC_001604	NC_020163
NC_001604	NC_022364
NC_001604	NC_022370
NC_001604	NC_022648
NC_001604	NC_000913
NC_001604	NC_011751
NC_001604	NC_011750
NC_001604	NC_017634
NC_001604	NC_018658
NC_001604	NC_002655
NC_001604	NC_002695
NC_001604	NC_004431
NC_001604	NC_008253
NC_001604	NC_011353
NC_001604	NC_011601
NC_001609	NC_007946
NC_001609	NC_008563
NC_001609	NC_009801
NC_001609	NC_010468
NC_001609	NC_010498
NC_001609	NC_011993
NC_001609	NC_012947
NC_001609	NC_017625
NC_001609	NC_017632
NC_001609	NC_017641
NC_001609	NC_017644
NC_001609	NC_017646
NC_001609	NC_016902
NC_001609	NC_017626
NC_001609	NC_017638
NC_001609	NC_017656
NC_001609	NC_009800
NC_001609	NC_010473
NC_001609	NC_017633
NC_001609	NC_007779
NC_001609	NC_011415
NC_001609	NC_011741
NC_001609	NC_011742
NC_001609	NC_011745
NC_001609	NC_011748
NC_001609	NC_012759
NC_001609	NC_012967
NC_001609	NC_013008
NC_001609	NC_013353
NC_001609	NC_013361
NC_001609	NC_013364
NC_001609	NC_017660
NC_001609	NC_017635
NC_001609	NC_017664
NC_001609	NC_017631
NC_001609	NC_012892
NC_001609	NC_012971
NC_001609	NC_013654
NC_001609	NC_020518
NC_001609	NC_013941
NC_001609	NC_017628
NC_001609	NC_017651
NC_001609	NC_017652
NC_001609	NC_017663
NC_001609	NC_017906
NC_001609	NC_018661
NC_001609	NC_018650
NC_001609	NC_020163
NC_001609	NC_022364
NC_001609	NC_022370
NC_001609	NC_022648
NC_001609	NC_000913
NC_001609	NC_011751
NC_001609	NC_011750
NC_001609	NC_017634
NC_001609	NC_018658
NC_001609	NC_002655
NC_001609	NC_002695
NC_001609	NC_004431
NC_001609	NC_008253
NC_001609	NC_011353
NC_001609	NC_011601
NC_001628	NC_008463
NC_001628	NC_009656
NC_001628	NC_011770
NC_001628	NC_017548
NC_001628	NC_020912
NC_001628	NC_021577
NC_001628	NC_017549
NC_001628	NC_018080
NC_001628	NC_022806
NC_001628	NC_022808
NC_001628	NC_023019
NC_001628	NC_023066
NC_001628	NC_023149
NC_001628	NC_002516
NC_001697	NC_009567
NC_001697	NC_007146
NC_001697	NC_016809
NC_001697	NC_014920
NC_001697	NC_014922
NC_001697	NC_017452
NC_001697	NC_009566
NC_001697	NC_022356
NC_001697	NC_017451
NC_001697	NC_000907
NC_001706	NC_009004
NC_001706	NC_013656
NC_001706	NC_017486
NC_001706	NC_017492
NC_001706	NC_017949
NC_001706	NC_019435
NC_001706	NC_008527
NC_001706	NC_020450
NC_001706	NC_022369
NC_001706	NC_022593
NC_001706	NC_002662
NC_001741	NC_017292
NC_001741	NC_014796
NC_001741	NC_018625
NC_001741	NC_018626
NC_001741	NC_018627
NC_001741	NC_018619
NC_001741	NC_018620
NC_001741	NC_018621
NC_001741	NC_018622
NC_001741	NC_018623
NC_001741	NC_018624
NC_001741	NC_019391
NC_001741	NC_020248
NC_001741	NC_017287
NC_001741	NC_015470
NC_001741	NC_017291
NC_001741	NC_017289
NC_001741	NC_017290
NC_001825	NC_008533
NC_001825	NC_010380
NC_001825	NC_010582
NC_001825	NC_011072
NC_001825	NC_011900
NC_001825	NC_012466
NC_001825	NC_012467
NC_001825	NC_012468
NC_001825	NC_012469
NC_001825	NC_014251
NC_001825	NC_017591
NC_001825	NC_017592
NC_001825	NC_017593
NC_001825	NC_018630
NC_001825	NC_017769
NC_001825	NC_014494
NC_001825	NC_014498
NC_001825	NC_018594
NC_001825	NC_003028
NC_001825	NC_003098
NC_001835	NC_009004
NC_001835	NC_013656
NC_001835	NC_017486
NC_001835	NC_017492
NC_001835	NC_017949
NC_001835	NC_019435
NC_001835	NC_008527
NC_001835	NC_020450
NC_001835	NC_022369
NC_001835	NC_022593
NC_001835	NC_002662
NC_001884	NC_017195
NC_001884	NC_017196
NC_001884	NC_019896
NC_001884	NC_020244
NC_001884	NC_020832
NC_001884	NC_014479
NC_001884	NC_014976
NC_001884	NC_016047
NC_001884	NC_020507
NC_001884	NC_018520
NC_001884	NC_022898
NC_001884	NC_000964
NC_001890	NC_007946
NC_001890	NC_008563
NC_001890	NC_009801
NC_001890	NC_010468
NC_001890	NC_010498
NC_001890	NC_011993
NC_001890	NC_012947
NC_001890	NC_017625
NC_001890	NC_017632
NC_001890	NC_017641
NC_001890	NC_017644
NC_001890	NC_017646
NC_001890	NC_016902
NC_001890	NC_017626
NC_001890	NC_017638
NC_001890	NC_017656
NC_001890	NC_009800
NC_001890	NC_010473
NC_001890	NC_017633
NC_001890	NC_007779
NC_001890	NC_011415
NC_001890	NC_011741
NC_001890	NC_011742
NC_001890	NC_011745
NC_001890	NC_011748
NC_001890	NC_012759
NC_001890	NC_012967
NC_001890	NC_013008
NC_001890	NC_013353
NC_001890	NC_013361
NC_001890	NC_013364
NC_001890	NC_017660
NC_001890	NC_017635
NC_001890	NC_017664
NC_001890	NC_017631
NC_001890	NC_012892
NC_001890	NC_012971
NC_001890	NC_013654
NC_001890	NC_020518
NC_001890	NC_013941
NC_001890	NC_017628
NC_001890	NC_017651
NC_001890	NC_017652
NC_001890	NC_017663
NC_001890	NC_017906
NC_001890	NC_018661
NC_001890	NC_018650
NC_001890	NC_020163
NC_001890	NC_022364
NC_001890	NC_022370
NC_001890	NC_022648
NC_001890	NC_000913
NC_001890	NC_011751
NC_001890	NC_011750
NC_001890	NC_017634
NC_001890	NC_018658
NC_001890	NC_002655
NC_001890	NC_002695
NC_001890	NC_004431
NC_001890	NC_008253
NC_001890	NC_011353
NC_001890	NC_011601
NC_001895	NC_007946
NC_001895	NC_008563
NC_001895	NC_009801
NC_001895	NC_010468
NC_001895	NC_010498
NC_001895	NC_011993
NC_001895	NC_012947
NC_001895	NC_017625
NC_001895	NC_017632
NC_001895	NC_017641
NC_001895	NC_017644
NC_001895	NC_017646
NC_001895	NC_016902
NC_001895	NC_017626
NC_001895	NC_017638
NC_001895	NC_017656
NC_001895	NC_009800
NC_001895	NC_010473
NC_001895	NC_017633
NC_001895	NC_007779
NC_001895	NC_011415
NC_001895	NC_011741
NC_001895	NC_011742
NC_001895	NC_011745
NC_001895	NC_011748
NC_001895	NC_012759
NC_001895	NC_012967
NC_001895	NC_013008
NC_001895	NC_013353
NC_001895	NC_013361
NC_001895	NC_013364
NC_001895	NC_017660
NC_001895	NC_017635
NC_001895	NC_017664
NC_001895	NC_017631
NC_001895	NC_012892
NC_001895	NC_012971
NC_001895	NC_013654
NC_001895	NC_020518
NC_001895	NC_013941
NC_001895	NC_017628
NC_001895	NC_017651
NC_001895	NC_017652
NC_001895	NC_017663
NC_001895	NC_017906
NC_001895	NC_018661
NC_001895	NC_018650
NC_001895	NC_020163
NC_001895	NC_022364
NC_001895	NC_022370
NC_001895	NC_022648
NC_001895	NC_000913
NC_001895	NC_011751
NC_001895	NC_011750
NC_001895	NC_017634
NC_001895	NC_018658
NC_001895	NC_002655
NC_001895	NC_002695
NC_001895	NC_004431
NC_001895	NC_008253
NC_001895	NC_011353
NC_001895	NC_011601
NC_001900	NC_009525
NC_001900	NC_009565
NC_001900	NC_012943
NC_001900	NC_017522
NC_001900	NC_017523
NC_001900	NC_017524
NC_001900	NC_018078
NC_001900	NC_020089
NC_001900	NC_021054
NC_001900	NC_021194
NC_001900	NC_021251
NC_001900	NC_016768
NC_001900	NC_016934
NC_001900	NC_020559
NC_001900	NC_021192
NC_001900	NC_021193
NC_001900	NC_022350
NC_001900	NC_021740
NC_001900	NC_018143
NC_001900	NC_000962
NC_001900	NC_002755
NC_001901	NC_007946
NC_001901	NC_008563
NC_001901	NC_009801
NC_001901	NC_010468
NC_001901	NC_010498
NC_001901	NC_011993
